family	科名	食性	diet
Formicidae	アリ科	肉食性	predatory/parasitic
Tettigoniidae	キリギリス科	多様	variable
Acrididae	バッタ科	植食性	herbivorous
Unidentified	不明	不明	unidentified
Empididae	オドリバエ科	肉食性	predatory/parasitic
Lygaeidae	ナガカメムシ科	多様	variable
Miridae	カスミカメムシ科	多様	variable
Cicadellidae	オオヨコバイ科	植食性	herbivorous
Aphididae	アブラムシ科	植食性	herbivorous
Chrysomelidae	ハムシ科	植食性	herbivorous
Anisolabididae	ハサミムシ科	肉食性	predatory/parasitic
Pentatomidae	カメムシ科	植食性	herbivorous
Tachinidae	ヤドリバエ科	肉食性	predatory/parasitic
Rhopalidae	ヒメヘリカメムシ科	植食性	herbivorous
Chironomidae	ユスリカ科	腐食性	detritivorous
Coreidae	ヘリカメムシ科	植食性	herbivorous
Pteromalidae	コガネコバチ科	肉食性	predatory/parasitic
Coccinellidae	テントウムシ科	肉食性	predatory/parasitic
Ectobiidae	チャバネゴキブリ科	腐食性	detritivorous
Culicidae	カ科	肉食性	predatory/parasitic
Entomobryidae	アヤトビムシ科	腐食性	detritivorous
Delphacidae	ウンカ科	植食性	herbivorous
Curculionidae	ゾウムシ科	植食性	herbivorous
Drosophilidae	ショウジョウバエ科	多様	variable
Lauxaniidae	シマバエ科	腐食性	detritivorous
Megaspilidae	オオモンクロバチ科	肉食性	predatory/parasitic
Sarcophagidae	ニクバエ科	腐食性	detritivorous
Tetrigidae	ヒシバッタ科	植食性	herbivorous
Hydrophilidae	ガムシ科	多様	variable
Anthocoridae	ハナカメムシ科	肉食性	predatory/parasitic
Platystomatidae	ヒロクチバエ科	多様	variable
Cecidomyiidae	タマバエ科	多様	variable
Pipunculidae	アタマバエ科	肉食性	predatory/parasitic
Phoridae	ノミバエ科	多様	variable
Lycaenidae	シジミチョウ科	植食性	herbivorous
Scarabaeidae	コガネムシ科	多様	variable
Sciaridae	クロバネキノコバエ科	腐食性	detritivorous
Scatopsidae	ニセケバエ科	腐食性	detritivorous
Trichogrammatidae	タマゴヤドリコバチ科	肉食性	predatory/parasitic
Andrenidae	ヒメハナバチ科	植食性	herbivorous
Gryllidae	コオロギ科	多様	variable
Limoniidae	ヒメガガンボ科	多様	variable
Ceratopogonidae	ヌカカ科	肉食性	predatory/parasitic
Elateridae	コメツキムシ科	多様	variable
Rhinotermitidae	ガシラシロアリ科	腐食性	detritivorous
Ichneumonidae	ヒメバチ科	肉食性	predatory/parasitic
Dolichopodidae	アシナガバエ科	多様	variable
Aphrophoridae	アワフキムシ科	植食性	herbivorous
Pyrgomorphidae	オンブバッタ科	植食性	herbivorous
Hormaphididae	不明	植食性	herbivorous
Aleyrodidae	コナジラミ科	植食性	herbivorous
Syrphidae	ハナアブ科	多様	variable
Agromyzidae	ハモグリバエ科	植食性	herbivorous
Tipulidae	ガガンボ科	植食性	herbivorous
Triozidae	トガリキジラミ科	植食性	herbivorous
Cantharidae	ジョウカイボン科	肉食性	predatory/parasitic
Trichoceridae	ガガンボダマシ科	腐食性	detritivorous
Baetidae	コカゲロウ科	腐食性	detritivorous
Noctuidae	ヤガ科	植食性	herbivorous
Chrysopidae	ヒメカゲロウ科	肉食性	predatory/parasitic
Pieridae	シロチョウ科	植食性	herbivorous
Eulophidae	ヒメコバチ科	肉食性	predatory/parasitic
Erebidae	不明	植食性	herbivorous
Eurytomidae	カタビロコバチ科	植食性	herbivorous
Geometridae	シャクガ科	植食性	herbivorous
Tomoceridae	トゲトビムシ科	腐食性	detritivorous
Braconidae	コマユバチ科	肉食性	predatory/parasitic
Lithobiidae	イシムカデ科	肉食性	predatory/parasitic
Mycetophilidae	キノコバエ科	腐食性	detritivorous
Ephydridae	ミギワバエ科	多様	variable
Tephritidae	ミバエ科	植食性	herbivorous
Alydidae	ホソヘリカメムシ科	植食性	herbivorous
Flatidae	アオバハゴロモ科	植食性	herbivorous
Carabidae	オサムシ科	肉食性	predatory/parasitic
Cryptophagidae	キスイムシ科	多様	variable
Peripsocidae	マドチャタテ科	腐食性	detritivorous
Tenthredinidae	ハバチ科	植食性	herbivorous
Staphylinidae	ハネカクシ科	多様	variable
Crambidae	ツトガ科	植食性	herbivorous
Sepsidae	ツヤホソバエ科	腐食性	detritivorous
Halictidae	コハナバチ科	植食性	herbivorous
Endomychidae	テントウダマシ科	植食性	herbivorous
Ceraphronidae	ヒゲナガクロバチ科	肉食性	predatory/parasitic
Coenagrionidae	イトトンボ科	肉食性	predatory/parasitic
Corylophidae	ミジンムシ科	腐食性	detritivorous
Reduviidae	サシガメ科	肉食性	predatory/parasitic
Tropiduchidae	グンバイウンカ科	植食性	herbivorous
Dictyopharidae	テングスケバ科	植食性	herbivorous
Libellulidae	トンボ科	肉食性	predatory/parasitic
Hesperiidae	セセリチョウ科	植食性	herbivorous
Xyelidae	ナギナタハバチ科	植食性	herbivorous
Thripidae	アザミウマ科	植食性	herbivorous
Saldidae	ミズギワカメムシ科	肉食性	predatory/parasitic
Argidae	ミフシハバチ科	植食性	herbivorous
Hybotidae	セダカオドリバエ科	肉食性	predatory/parasitic
Anoeciidae	不明	植食性	herbivorous
Armadillidiidae	オカダンゴムシ科	腐食性	detritivorous
Cymidae	不明	植食性	herbivorous
Mantispidae	カマキリモドキ科	肉食性	predatory/parasitic
Keroplatidae	ツノキノコバエ科	腐食性	detritivorous
Pyralidae	メイガ科	植食性	herbivorous
Psyllidae	キジラミ科	植食性	herbivorous
Halictophagidae	クシヒゲネジレバネ科	肉食性	predatory/parasitic
Aphelinidae	ツヤコバチ科	肉食性	predatory/parasitic
Scelionidae	タマゴクロバチ科	肉食性	predatory/parasitic
Sciomyzidae	ヤチバエ科	肉食性	predatory/parasitic
Monotomidae	ネスイムシ科	腐食性	detritivorous
Proctotrupidae	シリボソクロバチ科	肉食性	predatory/parasitic
Phlaeothripidae	クダアザミウマ科	植食性	herbivorous
Issidae	マルウンカ科	植食性	herbivorous
Tingidae	グンバイムシ科	植食性	herbivorous
Sphaeroceridae	ハヤトビバエ科	腐食性	detritivorous
Hypogastruridae	ヒメトビムシ科	腐食性	detritivorous
Nymphalidae	タテハチョウ科	植食性	herbivorous
Isotomidae	ツチトビムシ科	腐食性	detritivorous
Latridiidae	ヒメマキムシ科	腐食性	detritivorous
Caeciliusidae	ケチャタテ科	腐食性	detritivorous
Gelechiidae	キバガ科	植食性	herbivorous
Diapriidae	ハエヤドリクロバチ科	肉食性	predatory/parasitic
Cerambycidae	カミキリムシ科	植食性	herbivorous
