"node_id"	"sp_name"	"module"	"flow"	"diet.set"
1	"Oxyopes_sertatus"	1	0.195016	"spider"
2	"Tetragnatha_praedonia"	1	0.00487541	"spider"
3	"Tetragnatha_caudicula"	1	0.0390033	"spider"
4	"Ebrechtella_tricuspidata"	2	0.115926	"spider"
5	"Nephila_clavata"	7	0.00595883	"spider"
7	"Clubiona_sp."	8	0.00379198	"spider"
9	"Xysticus_sp."	3	0.0828819	"spider"
10	"Larinia_argiopiformis"	5	0.00704225	"spider"
11	"Hypsosinga_pygmaea"	1	0.000541712	"spider"
12	"Mendoza_elongata"	1	0.00975081	"spider"
13	"Pardosa_sp."	1	0.00704225	"spider"
15	"Thomisus_labefactus"	1	0.00108342	"spider"
18	"Argiope_amoena"	10	0.00270856	"spider"
20	"Oxytate_striatipes"	4	0.0108342	"spider"
21	"Neriene_radiata"	11	0.00108342	"spider"
23	"Cheiracanthium_japonicum"	1	0.00162514	"spider"
25	"Salticidae_sp.6"	1	0.000541712	"spider"
28	"Neoscona_adianta"	3	0.000541712	"spider"
34	"Araneus_abscissus"	4	0.00108342	"spider"
42	"Linyphiidae_sp.5"	1	0.000541712	"spider"
43	"Salticidae_sp.2"	6	0.00433369	"spider"
48	"Lycosidae_sp.1"	9	0.00108342	"spider"
49	"Argyrodes_bonadea"	5	0.00162514	"spider"
50	"Allagelena_opulenta"	1	0.00108342	"spider"
51	"H_0001_Hymenoptera_Formicidae"	8	0.00216685	"predatory/parasitic"
58	"H_0011_Diptera_Diptera"	1	0.00379198	"unidentified"
62	"H_0015_Diptera_Diptera"	4	0.00162514	"unidentified"
68	"H_0021_Dermaptera_Anisolabididae"	3	0.000541712	"predatory/parasitic"
69	"H_0022_Hymenoptera_Nylanderia"	6	0.00216685	"predatory/parasitic"
70	"H_0023_Diptera_Diptera"	2	0.000541712	"unidentified"
76	"H_0031_Diptera_Diptera"	2	0.00325027	"unidentified"
80	"H_0035_Hemiptera_Aphididae"	1	0.000541712	"herbivorous"
81	"H_0036_Diptera_Chironomus"	1	0.0308776	"detritivorous"
84	"H_0039_Blattodea_Blattella.bisignata"	9	0.00108342	"detritivorous"
85	"H_0040_Lepidoptera_Lepidoptera"	2	0.0140845	"unidentified"
86	"H_0041_Diptera_Culex"	1	0.00270856	"predatory/parasitic"
87	"H_0042_Diptera_Chironomus"	1	0.0520043	"detritivorous"
88	"H_0043_Orthoptera_Conocephalus"	2	0.00162514	"variable"
89	"H_0044_Diptera_Diptera"	1	0.00270856	"unidentified"
90	"H_0046_Collembola_Homidia"	1	0.035753	"detritivorous"
92	"H_0048_Hemiptera_Tropidocephala"	10	0.000541712	"herbivorous"
96	"H_0052_Diptera_Drosophila"	6	0.000541712	"variable"
