"node_id"	"sp_name"	"module"	"flow"	"col"
1	"Oxyopes_sertatus"	3	0.0554245	"#BEBADA"
2	"Tetragnatha_praedonia"	17	0.00589623	"#B6B69F"
3	"Tetragnatha_caudicula"	11	0.0176887	"#CCEBC5"
4	"Ebrechtella_tricuspidata"	2	0.0613208	"#FFFFB3"
6	"Neoscona_mellotteei"	7	0.0283019	"#B3DE69"
7	"Clubiona_sp."	2	0.00117925	"#FFFFB3"
8	"Diaea_subdola"	6	0.00117925	"#FDB462"
9	"Xysticus_sp."	8	0.0235849	"#FCCDE5"
11	"Hypsosinga_pygmaea"	15	0.00589623	"#B6B69F"
12	"Mendoza_elongata"	14	0.00589623	"#B6B69F"
15	"Thomisus_labefactus"	10	0.0212264	"#BC80BD"
17	"Salticidae_sp.1"	16	0.00943396	"#B6B69F"
19	"Leucauge_blanda"	5	0.0294811	"#80B1D3"
21	"Neriene_radiata"	12	0.00117925	"#FFED6F"
22	"Cyclosa_sedeculata"	4	0.0389151	"#FB8072"
23	"Cheiracanthium_japonicum"	19	0.00117925	"#B6B69F"
24	"Neoscona_scylloides"	1	0.108491	"#8DD3C7"
26	"Mimetus_sp."	9	0.00235849	"#D9D9D9"
27	"Pachygnatha_tenera"	21	0.00117925	"#B6B69F"
28	"Neoscona_adianta"	12	0.00707547	"#FFED6F"
29	"Philodromus_sp."	2	0.00235849	"#FFFFB3"
31	"Tetragnatha_squamata"	15	0.00353774	"#B6B69F"
32	"Argiope_bruennichi"	6	0.0224057	"#FDB462"
33	"Araneidae_sp.1"	9	0.0224057	"#D9D9D9"
34	"Araneus_abscissus"	13	0.00943396	"#B6B69F"
35	"Leucauge_celebesiana"	18	0.00353774	"#B6B69F"
36	"Agelena_silvatica"	14	0.00353774	"#B6B69F"
37	"Linyphiidae_sp.4"	12	0.00117925	"#FFED6F"
38	"Cyclosa_atrata"	6	0.00117925	"#FDB462"
39	"Ariamnes_cylindrogaster"	20	0.00117925	"#B6B69F"
40	"Theridiidae_sp."	2	0.00235849	"#FFFFB3"
52	"H_0002_Orthoptera_Conocephalus.maculatus"	14	0.00117925	"#B6B69F"
53	"H_0004_Orthoptera_Acrididae"	3	0.00117925	"#BEBADA"
54	"H_0005_Diptera_Diptera"	4	0.00117925	"#FB8072"
59	"H_0012_Diptera_Diptera"	3	0.00117925	"#BEBADA"
63	"H_0016_Hemiptera_Adelphocoris"	3	0.00117925	"#BEBADA"
65	"H_0018_Hemiptera_Cavariella"	10	0.00235849	"#BC80BD"
69	"H_0022_Hymenoptera_Nylanderia"	5	0.0153302	"#80B1D3"
70	"H_0023_Diptera_Diptera"	1	0.0259434	"#8DD3C7"
75	"H_0030_Diptera_Chironomidae"	2	0.00471698	"#FFFFB3"
77	"H_0032_Diptera_Diptera"	1	0.00117925	"#8DD3C7"
