"node_id"	"sp_name"	"module"	"flow"	"col"
1	"Oxyopes_sertatus"	13	0.00255885	"#B6B69F"
2	"Tetragnatha_praedonia"	9	0.00562948	"#D9D9D9"
4	"Ebrechtella_tricuspidata"	5	0.0429887	"#80B1D3"
5	"Nephila_clavata"	12	0.00255885	"#FFED6F"
7	"Clubiona_sp."	8	0.00665302	"#FCCDE5"
9	"Xysticus_sp."	3	0.0726714	"#BEBADA"
10	"Larinia_argiopiformis"	4	0.067042	"#FB8072"
12	"Mendoza_elongata"	10	0.00255885	"#BC80BD"
15	"Thomisus_labefactus"	5	0.0087001	"#80B1D3"
16	"Sitticus_sp."	6	0.00102354	"#FDB462"
17	"Salticidae_sp.1"	15	0.00102354	"#B6B69F"
19	"Leucauge_blanda"	1	0.136643	"#8DD3C7"
20	"Oxytate_striatipes"	16	0.00204708	"#B6B69F"
21	"Neriene_radiata"	4	0.00204708	"#FB8072"
22	"Cyclosa_sedeculata"	6	0.0204708	"#FDB462"
23	"Cheiracanthium_japonicum"	5	0.00204708	"#80B1D3"
24	"Neoscona_scylloides"	17	0.000511771	"#B6B69F"
25	"Salticidae_sp.6"	7	0.00665302	"#B3DE69"
28	"Neoscona_adianta"	19	0.00102354	"#B6B69F"
32	"Argiope_bruennichi"	2	0.105425	"#FFFFB3"
34	"Araneus_abscissus"	20	0.000511771	"#B6B69F"
42	"Linyphiidae_sp.5"	18	0.000511771	"#B6B69F"
43	"Salticidae_sp.2"	14	0.00102354	"#B6B69F"
44	"Salticidae_sp.3"	3	0.000511771	"#BEBADA"
45	"Myrmarachne_sp."	11	0.00409417	"#CCEBC5"
46	"Cyrtarachne_nagasakiensis"	4	0.00204708	"#FB8072"
47	"Oxyopes_badius"	8	0.00102354	"#FCCDE5"
51	"H_0001_Hymenoptera_Formicidae"	3	0.00307062	"#BEBADA"
52	"H_0002_Orthoptera_Conocephalus.maculatus"	2	0.00511771	"#FFFFB3"
53	"H_0004_Orthoptera_Acrididae"	17	0.0035824	"#B6B69F"
54	"H_0005_Diptera_Diptera"	3	0.00102354	"#BEBADA"
55	"H_0006_Hymenoptera_Hymenoptera"	5	0.000511771	"#80B1D3"
58	"H_0011_Diptera_Diptera"	4	0.00562948	"#FB8072"
59	"H_0012_Diptera_Diptera"	3	0.00102354	"#BEBADA"
60	"H_0013_Diptera_Diptera"	5	0.000511771	"#80B1D3"
61	"H_0014_Hemiptera_Nysius"	5	0.00562948	"#80B1D3"
62	"H_0015_Diptera_Diptera"	5	0.00153531	"#80B1D3"
63	"H_0016_Hemiptera_Adelphocoris"	5	0.00102354	"#80B1D3"
64	"H_0017_Hemiptera_Bothrogonia"	5	0.00307062	"#80B1D3"
67	"H_0020_Hymenoptera_Lasius"	1	0.0122825	"#8DD3C7"
72	"H_0026_Hemiptera_Pentatomidae"	2	0.000511771	"#FFFFB3"
74	"H_0029_Hemiptera_Rhopalidae"	5	0.0035824	"#80B1D3"
75	"H_0030_Diptera_Chironomidae"	1	0.0143296	"#8DD3C7"
76	"H_0031_Diptera_Diptera"	5	0.000511771	"#80B1D3"
78	"H_0033_Hemiptera_Coreidae"	12	0.00307062	"#FFED6F"
81	"H_0036_Diptera_Chironomus"	5	0.00972364	"#80B1D3"
82	"H_0037_Hymenoptera_Formicidae"	3	0.00307062	"#BEBADA"
84	"H_0039_Blattodea_Blattella.bisignata"	3	0.000511771	"#BEBADA"
85	"H_0040_Lepidoptera_Lepidoptera"	8	0.00204708	"#FCCDE5"
87	"H_0042_Diptera_Chironomus"	18	0.00153531	"#B6B69F"
88	"H_0043_Orthoptera_Conocephalus"	5	0.0143296	"#80B1D3"
89	"H_0044_Diptera_Diptera"	1	0.00409417	"#8DD3C7"
90	"H_0046_Collembola_Homidia"	3	0.0194473	"#BEBADA"
92	"H_0048_Hemiptera_Tropidocephala"	2	0.00562948	"#FFFFB3"
96	"H_0052_Diptera_Drosophila"	4	0.00153531	"#FB8072"
97	"H_0055_Diptera_Homoneura"	1	0.00102354	"#8DD3C7"
99	"H_0058_Lepidoptera_Lepidoptera"	5	0.00102354	"#80B1D3"
100	"H_0060_Orthoptera_Acrida"	13	0.00255885	"#B6B69F"
104	"H_0064_Orthoptera_Tetrigidae"	5	0.00102354	"#80B1D3"
105	"H_0065_Diptera_Chironomidae"	5	0.00153531	"#80B1D3"
107	"H_0067_Coleoptera_Hydrophilidae"	3	0.000511771	"#BEBADA"
