"rownames(output.data)"	"dprime"	"dprime.hosei"	"degree"	"degree.st"	"betweenness"	"class"	"individuals"
"Argiope_bruennichi"	0.442355366182219	0.557644633817781	4	0.0255	0.0134	"spider"	2
"Cheiracanthium_japonicum"	0.760187533431869	0.239812466568131	1	0.0064	0	"spider"	1
"Cyclosa_sedeculata"	0.426621263653787	0.573378736346213	24	0.1529	0.1974	"spider"	11
"Diaea_subdola"	0.661943563731179	0.338056436268821	4	0.0255	0.0364	"spider"	3
"Ebrechtella_tricuspidata"	0.507322833801581	0.492677166198419	24	0.1529	0.2311	"spider"	21
"Leucauge_blanda"	0.52625266924829	0.47374733075171	27	0.172	0.2128	"spider"	17
"Mendoza_elongata"	0.608454074276527	0.391545925723473	2	0.0127	0.0123	"spider"	1
"Mimetus_sp."	0.682285650423012	0.317714349576988	3	0.0191	0.0142	"spider"	1
"Neoscona_adianta"	1	0	2	0.0127	1e-04	"spider"	1
"Neoscona_mellotteei"	0.799544563715275	0.200455436284725	3	0.0191	0.0603	"spider"	2
"Neoscona_scylloides"	0.392446798302202	0.607553201697798	28	0.1783	0.3156	"spider"	22
"Neriene_radiata"	0.563515045576626	0.436484954423374	17	0.1083	0.1768	"spider"	7
"Oxyopes_sertatus"	0.784056381598106	0.215943618401894	28	0.1783	0.2508	"spider"	16
"Pachygnatha_tenera"	0.676157268811002	0.323842731188998	2	0.0127	0.0123	"spider"	2
"Philodromus_sp."	0.81838135207325	0.18161864792675	4	0.0255	0.0367	"spider"	2
"Salticidae_sp.5"	0.326761291609181	0.673238708390818	1	0.0064	0	"spider"	1
"Salticidae_sp.6"	1	0	1	0.0064	0	"spider"	1
"Sitticus_sp."	0.520375066863737	0.479624933136263	1	0.0064	0	"spider"	1
"Tetragnatha_caudicula"	0.639365560856977	0.360634439143023	20	0.1274	0.1421	"spider"	15
"Tetragnatha_praedonia"	0.899772281857638	0.100227718142362	3	0.0191	0.0246	"spider"	1
"Tetragnatha_squamata"	0.418414418476695	0.581585581523305	2	0.0127	0.0123	"spider"	1
"Thomisus_labefactus"	0.760187533431869	0.239812466568131	1	0.0064	0	"spider"	1
"H_0007_Diptera_Empididae"	0.161481763751691	0.838518236248309	5	0.0318	0.1028	"prey"	8
"H_0010_Diptera_Diptera"	0.143083522534425	0.856916477465575	3	0.0191	0.0273	"prey"	4
"H_0013_Diptera_Diptera"	0.0836068700805081	0.916393129919492	1	0.0064	0	"prey"	1
"H_0015_Diptera_Diptera"	0.191663750031976	0.808336249968024	1	0.0064	0	"prey"	2
"H_0023_Diptera_Diptera"	0.276841928148789	0.723158071851211	3	0.0191	0	"prey"	5
"H_0024_Diptera_Diptera"	0.117245129710198	0.882754870289802	3	0.0191	0.0103	"prey"	4
"H_0031_Diptera_Diptera"	0.00815322054885075	0.991846779451149	1	0.0064	0	"prey"	1
"H_0035_Hemiptera_Aphididae"	0.391040674990455	0.608959325009545	5	0.0318	0.0594	"prey"	7
"H_0046_Collembola_Homidia"	0.805040978106214	0.194959021893786	1	0.0064	0	"prey"	1
"H_0047_Diptera_Diptera"	1	0	1	0.0064	0	"prey"	1
"H_0048_Hemiptera_Tropidocephala"	0.0217674418472549	0.978232558152745	2	0.0127	0.0051	"prey"	2
"H_0049_Coleoptera_Hypera"	0.470281786366634	0.529718213633366	3	0.0191	0.0252	"prey"	5
"H_0051_Diptera_Diptera"	0.157401125925485	0.842598874074515	1	0.0064	0	"prey"	1
"H_0055_Diptera_Homoneura"	0.0433574089403447	0.956642591059655	1	0.0064	0	"prey"	1
"H_0062_Diptera_Sarcophaga"	0.0165498564431084	0.983450143556892	1	0.0064	0	"prey"	1
"H_0063_Diptera_Diptera"	0.0836068700805081	0.916393129919492	1	0.0064	0	"prey"	1
"H_0065_Diptera_Chironomidae"	0.0836068700805081	0.916393129919492	1	0.0064	0	"prey"	1
"H_0074_Diptera_Scaptomyza"	0.0217674418472549	0.978232558152745	2	0.0127	0.0051	"prey"	2
"H_0075_Hemiptera_Sitobion.avenae"	0.0836068700805081	0.916393129919492	1	0.0064	0	"prey"	1
"H_0078_Diptera_Mayetiola"	0.256879902550954	0.743120097449046	3	0.0191	0.0313	"prey"	3
"H_0089_Diptera_Bradysia"	0.180026108708514	0.819973891291486	6	0.0382	0.0245	"prey"	18
"H_0092_Diptera_Rhopalomyia"	0.690997261121074	0.309002738878926	1	0.0064	0	"prey"	1
"H_0100_Hemiptera_Hemiptera"	0.281612420950774	0.718387579049226	3	0.0191	0.0257	"prey"	3
"H_0101_Hymenoptera_Andrena"	0	1	1	0.0064	0	"prey"	1
"H_0104_Hymenoptera_Hymenoptera"	0	1	1	0.0064	0	"prey"	1
"H_0105_Diptera_Sciaridae"	0.286591237418923	0.713408762581077	4	0.0255	0.0092	"prey"	7
"H_0106_Hemiptera_Rhopalosiphum.padi"	0.157401125925485	0.842598874074515	1	0.0064	0	"prey"	1
"H_0109_Diptera_Scaptomyza"	0.183131168113354	0.816868831886646	4	0.0255	0.0498	"prey"	6
"H_0111_Diptera_Diptera"	0.279156818652047	0.720843181347953	3	0.0191	0.0161	"prey"	5
"H_0116_Diptera_Atrichopogon"	0.290669014377153	0.709330985622847	2	0.0127	0	"prey"	4
"H_0117_Hemiptera_Aphididae"	0	1	1	0.0064	0	"prey"	1
"H_0124_Coleoptera_Chrysomelidae"	0.0433574089403447	0.956642591059655	1	0.0064	0	"prey"	1
"H_0125_Hemiptera_Cicadellidae"	0.0433574089403447	0.956642591059655	1	0.0064	0	"prey"	1
"H_0130_Diptera_Diptera"	0.690997261121074	0.309002738878926	1	0.0064	0	"prey"	1
"H_0131_Collembola_Collembola"	0.0433574089403447	0.956642591059655	1	0.0064	0	"prey"	1
"H_0133_Hemiptera_Chaitophorus"	0.0165498564431084	0.983450143556892	1	0.0064	0	"prey"	1
"H_0142_Diptera_Chironomus"	0.0165498564431084	0.983450143556892	1	0.0064	0	"prey"	1
"H_0143_Diptera_Diptera"	0.19810179406237	0.80189820593763	3	0.0191	0.0226	"prey"	5
"H_0148_Diptera_Diptera"	0.610081956212427	0.389918043787573	1	0.0064	0	"prey"	1
"H_0151_Lepidoptera_Lepidoptera"	0.305226310128888	0.694773689871113	1	0.0064	0	"prey"	3
"H_0152_Diptera_Diptera"	0.0165498564431084	0.983450143556892	1	0.0064	0	"prey"	1
"H_0158_Hemiptera_Cicadellidae"	0.0433574089403447	0.956642591059655	1	0.0064	0	"prey"	1
"H_0164_Diptera_Cecidomyiidae"	0	1	1	0.0064	0	"prey"	1
"H_0165_Diptera_Bradysia"	0.182341422908002	0.817658577091998	3	0.0191	0.0214	"prey"	4
"H_0168_Coleoptera_Chrysomelidae"	0.0433574089403447	0.956642591059655	1	0.0064	0	"prey"	1
"H_0172_Hemiptera_Hemiptera"	0.00815322054885075	0.991846779451149	1	0.0064	0	"prey"	1
"H_0182_Diptera_Diptera"	0	1	1	0.0064	0	"prey"	1
"H_0184_Diptera_Melanostoma"	0.381219012136211	0.618780987863789	2	0.0127	0.0165	"prey"	2
"H_0189_Diptera_Phoridae"	0.157401125925485	0.842598874074515	1	0.0064	0	"prey"	1
"H_0191_Coleoptera_Curculionidae"	0	1	1	0.0064	0	"prey"	1
"H_0192_Diptera_Melanagromyza"	0.00815322054885075	0.991846779451149	1	0.0064	0	"prey"	1
"H_0194_Diptera_Sciaridae"	0.074929410693808	0.925070589306192	2	0.0127	0.0212	"prey"	2
"H_0197_Diptera_Sciara"	0.0176741447960141	0.982325855203986	2	0.0127	0.0077	"prey"	2
"H_0198_Hemiptera_Triozidae"	0.00409329705124077	0.995906702948759	2	0.0127	0.0249	"prey"	2
"H_0200_Coleoptera_Cantharidae"	0	1	1	0.0064	0	"prey"	1
"H_0204_Diptera_Cecidomyiidae"	0.00815322054885075	0.991846779451149	1	0.0064	0	"prey"	1
"H_0212_Diptera_Cecidomyiidae"	0.302939973487758	0.697060026512242	2	0.0127	0	"prey"	5
"H_0220_Hymenoptera_Hymenoptera"	0.00815322054885075	0.991846779451149	1	0.0064	0	"prey"	1
"H_0222_Coleoptera_Coleoptera"	0.805040978106214	0.194959021893786	1	0.0064	0	"prey"	1
"H_0226_Hemiptera_Aphididae"	0.576976059219428	0.423023940780572	2	0.0127	0.0123	"prey"	2
"H_0235_Diptera_Diptera"	0.0836068700805081	0.916393129919492	1	0.0064	0	"prey"	1
