dominant_rank	species	abbreviation	No.	order	Family	genus	species	JapaneseName	ecology	hunting_mode
1	Oxyopes_sertatus	Os	37	Araneae	Oxyopidae	Oxyope	Oxyopes_sertatus	ササグモ	free-living	sit-and-wait
2	Argiope_bruennichi	Ab	19	Araneae	Araneidae	Argiope	Argiope_bruennichi	ナガコガネグモ	web-weaving	web-weaving
3	Tetragnatha_caudicula	Tc	6	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha_caudicula	トガリアシナガグモ	web-weaving	web-weaving
4	Leucauge_blanda	Lb	7	Araneae	Tetragnathidae	Leucauge	Leucauge_blanda	チュウガタシロカネグモ	web-weaving	web-weaving
5	Ebrechtella_tricuspidata	Et	13	Araneae	Thomisidae	Ebrechtella	Ebrechtella_tricuspidata	ハナグモ	free-living	sit-and-wait
6	Neoscona_scylloides	Ns	24	Araneae	Araneidae	Neoscona	Neoscona_scylloides	サツマノミダマシ	web-weaving	web-weaving
7	Xysticus_sp.	X_sp	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	カニグモ属	free-living	active-hunting
8	Larinia_argiopiformis	La	20	Araneae	Araneidae	Larinia	Larinia_argiopiformis	コガネグモダマシ	web-weaving	web-weaving
9	Cyclosa_sedeculata	Cs	21	Araneae	Araneidae	Cyclosa	Cyclosa_sedeculata	ヨツデゴミグモ	web-weaving	web-weaving
10	Araneidae_sp.1	A_sp1	27	Araneae	Araneidae	-	Araneidae_sp.1	コガネグモ科_sp.1	free-living	web-weaving
11	Neoscona_mellotteei	Nm	26	Araneae	Araneidae	Neoscona	Neoscona_mellotteei	ワキグロサツマノミダマシ	web-weaving	web-weaving
12	Trichonephila_clavata	Nc	45	Araneae	Nephilinae	Nephila	Trichonephila_clavata	ジョロウグモ	web-weaving	web-weaving
13	Mendoza_elongata	Me	56	Araneae	Salticidae	Mendoza	Mendoza_elongata	ヤハズハエトリ	free-living	active-hunting
14	Tetragnatha_praedonia	Tp	4	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha_praedonia	アシナガグモ	web-weaving	web-weaving
15	Thomisus_labefactus	Tl	10	Araneae	Thomisidae	Thomisus	Thomisus_labefactus	アズチグモ	free-living	sit-and-wait
16	Cheiracanthium_japonicum	Cj	32	Araneae	Cheiracanthiidae	Cheiracanthium	Cheiracanthium_japonicum	カバキコマチグモ	free-living	active-hunting
17	Clubiona_sp.	C_sp	63	Araneae	Clubionidae	Clubiona	Clubiona_sp.	フクログモ属	free-living	active-hunting
18	Gibbaranea_abscissus	Aa	17	Araneae	Araneidae	Araneus 	Gibbaranea_abscissus	キザハシオニグモ	web-weaving	web-weaving
19	Neriene_radiata	Nr	38	Araneae	Linyphiidae	Neriene	Neriene_radiata	シロブチサラグモ	web-weaving	web-weaving
