rownames(join.data)	node_name	degree.z	c.score	total.indi	class
1	Agelena_silvatica	-0.285678932661745	0.2449	3	spider
2	Allagelena_opulenta	-0.967622191273652	0	1	spider
3	Araneidae_sp.1	1.46136931113455	0.5988	15	spider
4	Araneus_abscissus	1.62376219145159	0.4082	13	spider
5	Argiope_amoena	0.669041629394925	0.551	6	spider
6	Argiope_bruennichi	9.3093069822785	0.7938	186	spider
7	Argyrodes_bonadea	-0.114912220614486	0	1	spider
8	Ariamnes_cylindrogaster	-0.261725285510233	0	1	spider
9	Cheiracanthium_japonicum	0.396264325950162	0.5139	10	spider
10	Clubiona_sp.	2.03292814661874	0.3438	13	spider
11	Cyclosa_atrata	-0.83123353955127	0	3	spider
12	Cyclosa_sedeculata	4.20913029358799	0.8274	42	spider
13	Cyrtarachne_nagasakiensis	-0.274155743524426	0	1	spider
14	Diaea_subdola	2.94736016878305	0.7956	8	spider
15	Dolomedes_sp.	-0.558456236106508	0.32	2	spider
16	Ebrechtella_tricuspidata	10.9874098891987	0.7596	129	spider
17	H_0001_Hymenoptera_Formicidae	-0.149290280939363	0.7813	18	prey
18	H_0002_Orthoptera_Conocephalus.maculatus	0.123487022505399	0.84	20	prey
19	H_0004_Orthoptera_Acrididae	-0.012901629216982	0.8642	22	prey
20	H_0005_Diptera_Diptera	0.208163191384486	0.8642	50	prey
21	H_0006_Hymenoptera_Hymenoptera	-0.124775575396281	0	1	prey
22	H_0007_Diptera_Empididae	-0.00800530813552961	0.8	8	prey
23	H_0010_Diptera_Diptera	-0.00285991726864864	0.6667	4	prey
24	H_0011_Diptera_Diptera	1.0894710851362	0.8978	122	prey
25	H_0012_Diptera_Diptera	-0.0459586149450665	0.8	7	prey
26	H_0013_Diptera_Diptera	-0.0557826313662552	0.75	5	prey
27	H_0014_Hemiptera_Nysius	0.0784087906178369	0.8333	14	prey
28	H_0015_Diptera_Diptera	-0.012901629216982	0.8148	20	prey
29	H_0016_Hemiptera_Adelphocoris	-0.0438520647859457	0.5	3	prey
30	H_0017_Hemiptera_Bothrogonia	0.122575767611429	0.8571	17	prey
31	H_0018_Hemiptera_Cavariella	-0.0540921403629381	0.6667	3	prey
32	H_0019_Coleoptera_Plagiodera.versicolora	-0.32878086076086	0	1	prey
33	H_0020_Hymenoptera_Lasius	0.0954525079628304	0.8571	25	prey
34	H_0021_Dermaptera_Anisolabididae	-0.106294284560819	0	2	prey
