"node.name"	"module.no"	"col.moju"	"tax"	"tax.col"	"size.cent"	"size.node"	"shape"	"degree"
"Agelena_silvatica"	"1"	"#FDB462"	NA	NA	"0.0025"	NA	"18"	"7"
"Allagelena_opulenta"	"1"	"#FDB462"	NA	NA	"0"	NA	"18"	"2"
"Araneidae_sp.1"	"2"	"#FCCDE5"	NA	NA	"0.01"	NA	"18"	"18"
"Araneus_abscissus"	"1"	"#FDB462"	NA	NA	"0.0118"	NA	"18"	"21"
"Argiope_amoena"	"1"	"#FDB462"	NA	NA	"0.0026"	NA	"18"	"14"
"Argiope_bruennichi"	"3"	"#80B1D3"	NA	NA	"0.1884"	NA	"18"	"215"
"Argyrodes_bonadea"	"4"	"#B3DE69"	NA	NA	"0.002"	NA	"18"	"3"
"Ariamnes_cylindrogaster"	"5"	"#D9D9D9"	NA	NA	"0"	NA	"18"	"1"
"Cheiracanthium_japonicum"	"1"	"#FDB462"	NA	NA	"0.0035"	NA	"18"	"12"
"Clubiona_sp."	"1"	"#FDB462"	NA	NA	"0.0066"	NA	"18"	"24"
"Cyclosa_atrata"	"1"	"#FDB462"	NA	NA	"0"	NA	"18"	"3"
"Cyclosa_sedeculata"	"6"	"#CCEBC5"	NA	NA	"0.0402"	NA	"18"	"63"
"Cyrtarachne_nagasakiensis"	"2"	"#FCCDE5"	NA	NA	"0.0021"	NA	"18"	"4"
"Diaea_subdola"	"7"	"#CBD5E8"	NA	NA	"0.0198"	NA	"18"	"30"
"Dolomedes_sp."	"1"	"#FDB462"	NA	NA	"5e-04"	NA	"18"	"5"
"Ebrechtella_tricuspidata"	"8"	"#BEBADA"	NA	NA	"0.2241"	NA	"18"	"266"
"Hypsosinga_pygmaea"	"2"	"#FCCDE5"	NA	NA	"0.0023"	NA	"18"	"7"
"Larinia_argiopiformis"	"9"	"#BC80BD"	NA	NA	"0.066"	NA	"18"	"91"
"Leucauge_blanda"	"10"	"#FB8072"	NA	NA	"0.1905"	NA	"18"	"197"
"Leucauge_celebesiana"	"11"	"#FFF2AE"	NA	NA	"0.0039"	NA	"18"	"3"
"Linyphiidae_sp.4"	"2"	"#FCCDE5"	NA	NA	"0"	NA	"18"	"1"
"Linyphiidae_sp.5"	"1"	"#FDB462"	NA	NA	"4e-04"	NA	"18"	"9"
"Lycosidae_sp.1"	"8"	"#BEBADA"	NA	NA	"0"	NA	"18"	"2"
"Mendoza_elongata"	"1"	"#FDB462"	NA	NA	"0.0097"	NA	"18"	"32"
"Mimetus_sp."	"7"	"#CBD5E8"	NA	NA	"4e-04"	NA	"18"	"5"
"Myrmarachne_sp."	"1"	"#FDB462"	NA	NA	"0.0012"	NA	"18"	"9"
"Neoscona_adianta"	"2"	"#FCCDE5"	NA	NA	"0.0043"	NA	"18"	"10"
"Neoscona_mellotteei"	"2"	"#FCCDE5"	NA	NA	"0.0237"	NA	"18"	"33"
