family	hexa_id	diet
Acrididae	H_0774_Orthoptera_Oxya	herbivorous
Acrididae	H_0935_Orthoptera_Acrididae	herbivorous
Acrididae	H_0894_Orthoptera_Acrida	herbivorous
Acrididae	H_0916_Orthoptera_Acrida	herbivorous
Acrididae	H_0359_Orthoptera_Gonista	herbivorous
Acrididae	H_0989_Orthoptera_Oedaleus	herbivorous
Acrididae	H_0004_Orthoptera_Acrididae	herbivorous
Acrididae	H_0060_Orthoptera_Acrida	herbivorous
Acrididae	H_0312_Orthoptera_Acrididae	herbivorous
Agromyzidae	H_0192_Diptera_Melanagromyza	herbivorous
Aleyrodidae	H_0841_Hemiptera_Bemisia	herbivorous
Aleyrodidae	H_0269_Hemiptera_Bemisia	herbivorous
Aleyrodidae	H_0644_Hemiptera_Aleyrodidae	herbivorous
Aleyrodidae	H_0806_Hemiptera_Bemisia.tabaci	herbivorous
Aleyrodidae	H_0442_Hemiptera_Aleyrodidae	herbivorous
Aleyrodidae	H_0502_Hemiptera_Bemisia	herbivorous
Aleyrodidae	H_0405_Hemiptera_Bemisia.tabaci	herbivorous
Aleyrodidae	H_0180_Hemiptera_Bemisia	herbivorous
Alydidae	H_0305_Hemiptera_Riptortus.pedestris	herbivorous
Andrenidae	H_0101_Hymenoptera_Andrena	herbivorous
Anisolabididae	H_0021_Dermaptera_Anisolabididae	predatory/parasitic
Anoeciidae	H_0697_Hemiptera_Anoecia	herbivorous
Anoeciidae	H_1170_Hemiptera_Anoecia	herbivorous
Anoeciidae	H_0584_Hemiptera_Anoecia	herbivorous
Anoeciidae	H_0678_Hemiptera_Anoecia	herbivorous
Anthocoridae	H_0071_Hemiptera_Orius	predatory/parasitic
Anthocoridae	H_0748_Hemiptera_Amphiareus	predatory/parasitic
Aphelinidae	H_1105_Hymenoptera_Aphelinus	predatory/parasitic
Aphelinidae	H_0722_Hymenoptera_Encarsia	predatory/parasitic
Aphididae	H_1066_Hemiptera_Aphididae	herbivorous
Aphididae	H_0468_Hemiptera_Aphididae	herbivorous
Aphididae	H_1205_Hemiptera_Aphididae	herbivorous
Aphididae	H_0690_Hemiptera_Aphididae	herbivorous
Aphididae	H_0850_Hemiptera_Aphididae	herbivorous
Aphididae	H_0106_Hemiptera_Rhopalosiphum.padi	herbivorous
Aphididae	H_1002_Hemiptera_Aphididae	herbivorous
Aphididae	H_1187_Hemiptera_Aphididae	herbivorous
Aphididae	H_0091_Hemiptera_Therioaphis.trifolii	herbivorous
Aphididae	H_0466_Hemiptera_Aphididae	herbivorous
Aphididae	H_1202_Hemiptera_Aphididae	herbivorous
Aphididae	H_1152_Hemiptera_Aphididae	herbivorous
Aphididae	H_0431_Hemiptera_Aphididae	herbivorous
Aphididae	H_0799_Hemiptera_Aphididae	herbivorous
Aphididae	H_0268_Hemiptera_Aphis	herbivorous
Aphididae	H_0035_Hemiptera_Aphididae	herbivorous
Aphididae	H_0133_Hemiptera_Chaitophorus	herbivorous
Aphididae	H_1198_Hemiptera_Aphis	herbivorous
Aphididae	H_1158_Hemiptera_Aphididae	herbivorous
Aphididae	H_0755_Hemiptera_Aphididae	herbivorous
Aphididae	H_0852_Hemiptera_Aphididae	herbivorous
Aphididae	H_0802_Hemiptera_Aphididae	herbivorous
Aphididae	H_1196_Hemiptera_Acyrthosiphon.pisum	herbivorous
Aphididae	H_0853_Hemiptera_Chaitophorus	herbivorous
