family	hexa_id	diet
Formicidae	H_0001_Hymenoptera_Formicidae	predatory/parasitic
Tettigoniidae	H_0002_Orthoptera_Conocephalus.maculatus	variable
Acrididae	H_0004_Orthoptera_Acrididae	herbivorous
Unidentified	H_0005_Diptera_Diptera	unidentified
Unidentified	H_0006_Hymenoptera_Hymenoptera	unidentified
Empididae	H_0007_Diptera_Empididae	predatory/parasitic
Unidentified	H_0010_Diptera_Diptera	unidentified
Unidentified	H_0011_Diptera_Diptera	unidentified
Unidentified	H_0012_Diptera_Diptera	unidentified
Unidentified	H_0013_Diptera_Diptera	unidentified
Lygaeidae	H_0014_Hemiptera_Nysius	variable
Unidentified	H_0015_Diptera_Diptera	unidentified
Miridae	H_0016_Hemiptera_Adelphocoris	variable
Cicadellidae	H_0017_Hemiptera_Bothrogonia	herbivorous
Aphididae	H_0018_Hemiptera_Cavariella	herbivorous
Chrysomelidae	H_0019_Coleoptera_Plagiodera.versicolora	herbivorous
Formicidae	H_0020_Hymenoptera_Lasius	predatory/parasitic
Anisolabididae	H_0021_Dermaptera_Anisolabididae	predatory/parasitic
Formicidae	H_0022_Hymenoptera_Nylanderia	predatory/parasitic
Unidentified	H_0023_Diptera_Diptera	unidentified
Unidentified	H_0024_Diptera_Diptera	unidentified
Pentatomidae	H_0026_Hemiptera_Pentatomidae	herbivorous
Tachinidae	H_0028_Diptera_Exorista	predatory/parasitic
Rhopalidae	H_0029_Hemiptera_Rhopalidae	herbivorous
Chironomidae	H_0030_Diptera_Chironomidae	detritivorous
Unidentified	H_0031_Diptera_Diptera	unidentified
Unidentified	H_0032_Diptera_Diptera	unidentified
Coreidae	H_0033_Hemiptera_Coreidae	herbivorous
Pteromalidae	H_0034_Hymenoptera_Pteromalus.puparum	predatory/parasitic
Aphididae	H_0035_Hemiptera_Aphididae	herbivorous
Chironomidae	H_0036_Diptera_Chironomus	detritivorous
Formicidae	H_0037_Hymenoptera_Formicidae	predatory/parasitic
Coccinellidae	H_0038_Coleoptera_Propylea	predatory/parasitic
Ectobiidae	H_0039_Blattodea_Blattella.bisignata	detritivorous
Unidentified	H_0040_Lepidoptera_Lepidoptera	unidentified
Culicidae	H_0041_Diptera_Culex	predatory/parasitic
Chironomidae	H_0042_Diptera_Chironomus	detritivorous
Tettigoniidae	H_0043_Orthoptera_Conocephalus	variable
Unidentified	H_0044_Diptera_Diptera	unidentified
Entomobryidae	H_0046_Collembola_Homidia	detritivorous
Unidentified	H_0047_Diptera_Diptera	unidentified
Delphacidae	H_0048_Hemiptera_Tropidocephala	herbivorous
Curculionidae	H_0049_Coleoptera_Hypera	herbivorous
Unidentified	H_0050_Diptera_Diptera	unidentified
Unidentified	H_0051_Diptera_Diptera	unidentified
Drosophilidae	H_0052_Diptera_Drosophila	variable
Lauxaniidae	H_0055_Diptera_Homoneura	detritivorous
Megaspilidae	H_0056_Hymenoptera_Dendrocerus.carpenteri	predatory/parasitic
Unidentified	H_0058_Lepidoptera_Lepidoptera	unidentified
Acrididae	H_0060_Orthoptera_Acrida	herbivorous
Unidentified	H_0061_Lepidoptera_Lepidoptera	unidentified
Sarcophagidae	H_0062_Diptera_Sarcophaga	detritivorous
Unidentified	H_0063_Diptera_Diptera	unidentified
Tetrigidae	H_0064_Orthoptera_Tetrigidae	herbivorous
Chironomidae	H_0065_Diptera_Chironomidae	detritivorous
Chironomidae	H_0066_Diptera_Chironomus	detritivorous
Hydrophilidae	H_0067_Coleoptera_Hydrophilidae	variable
Chrysomelidae	H_0068_Coleoptera_Chrysomelidae	herbivorous
Formicidae	H_0069_Hymenoptera_Formicidae	predatory/parasitic
Unidentified	H_0070_Diptera_Diptera	unidentified
Anthocoridae	H_0071_Hemiptera_Orius	predatory/parasitic
Platystomatidae	H_0072_Diptera_Rivellia	variable
Cecidomyiidae	H_0073_Diptera_Cecidomyiidae	variable
Drosophilidae	H_0074_Diptera_Scaptomyza	variable
Aphididae	H_0075_Hemiptera_Sitobion.avenae	herbivorous
Coccinellidae	H_0076_Coleoptera_Coccinella	predatory/parasitic
Pipunculidae	H_0077_Diptera_Pipunculidae	predatory/parasitic
Cecidomyiidae	H_0078_Diptera_Mayetiola	variable
Lygaeidae	H_0079_Hemiptera_Nysius	variable
Phoridae	H_0080_Diptera_Megaselia	variable
