node_id	sp_name
1	Oxyopes_sertatus
2	Tetragnatha_praedonia
3	Tetragnatha_caudicula
4	Ebrechtella_tricuspidata
5	Nephila_clavata
6	Neoscona_mellotteei
7	Clubiona_sp.
8	Diaea_subdola
9	Xysticus_sp.
10	Larinia_argiopiformis
11	Hypsosinga_pygmaea
12	Mendoza_elongata
13	Pardosa_sp.
14	Dolomedes_sp.
15	Thomisus_labefactus
16	Sitticus_sp.
17	Salticidae_sp.1
18	Argiope_amoena
19	Leucauge_blanda
20	Oxytate_striatipes
21	Neriene_radiata
22	Cyclosa_sedeculata
23	Cheiracanthium_japonicum
24	Neoscona_scylloides
25	Salticidae_sp.6
26	Mimetus_sp.
27	Pachygnatha_tenera
28	Neoscona_adianta
29	Philodromus_sp.
30	Salticidae_sp.5
31	Tetragnatha_squamata
32	Argiope_bruennichi
33	Araneidae_sp.1
34	Araneus_abscissus
35	Leucauge_celebesiana
36	Agelena_silvatica
37	Linyphiidae_sp.4
38	Cyclosa_atrata
39	Ariamnes_cylindrogaster
40	Theridiidae_sp.
41	Parasteatoda_japonica
42	Linyphiidae_sp.5
43	Salticidae_sp.2
44	Salticidae_sp.3
45	Myrmarachne_sp.
46	Cyrtarachne_nagasakiensis
47	Oxyopes_badius
48	Lycosidae_sp.1
49	Argyrodes_bonadea
50	Allagelena_opulenta
51	H_0001_Hymenoptera_Formicidae
52	H_0002_Orthoptera_Conocephalus.maculatus
53	H_0004_Orthoptera_Acrididae
54	H_0005_Diptera_Diptera
55	H_0006_Hymenoptera_Hymenoptera
56	H_0007_Diptera_Empididae
57	H_0010_Diptera_Diptera
58	H_0011_Diptera_Diptera
59	H_0012_Diptera_Diptera
60	H_0013_Diptera_Diptera
61	H_0014_Hemiptera_Nysius
62	H_0015_Diptera_Diptera
63	H_0016_Hemiptera_Adelphocoris
64	H_0017_Hemiptera_Bothrogonia
65	H_0018_Hemiptera_Cavariella
66	H_0019_Coleoptera_Plagiodera.versicolora
67	H_0020_Hymenoptera_Lasius
68	H_0021_Dermaptera_Anisolabididae
69	H_0022_Hymenoptera_Nylanderia
70	H_0023_Diptera_Diptera
71	H_0024_Diptera_Diptera
72	H_0026_Hemiptera_Pentatomidae
73	H_0028_Diptera_Exorista
74	H_0029_Hemiptera_Rhopalidae
75	H_0030_Diptera_Chironomidae
76	H_0031_Diptera_Diptera
77	H_0032_Diptera_Diptera
78	H_0033_Hemiptera_Coreidae
79	H_0034_Hymenoptera_Pteromalus.puparum
80	H_0035_Hemiptera_Aphididae
81	H_0036_Diptera_Chironomus
82	H_0037_Hymenoptera_Formicidae
83	H_0038_Coleoptera_Propylea
84	H_0039_Blattodea_Blattella.bisignata
85	H_0040_Lepidoptera_Lepidoptera
86	H_0041_Diptera_Culex
