hexa_id	family	diet	Oxyopes_sertatus	Tetragnatha_praedonia	Tetragnatha_caudicula	Ebrechtella_tricuspidata	Nephila_clavata	Neoscona_mellotteei	Clubiona_sp.	Diaea_subdola	Xysticus_sp.	Larinia_argiopiformis	Hypsosinga_pygmaea	Mendoza_elongata	Pardosa_sp.	Dolomedes_sp.	Thomisus_labefactus	Sitticus_sp.	Salticidae_sp.1
H_0036_Diptera_Chironomus	Chironomidae	detritivorous	9	0	7	5	0	0	0	0	7	0	0	1	1	0	1	0	1
H_0042_Diptera_Chironomus	Chironomidae	detritivorous	43	6	47	13	1	2	2	1	16	1	1	2	1	0	1	0	0
H_0046_Collembola_Homidia	Entomobryidae	detritivorous	39	0	2	6	1	1	0	0	8	0	0	1	0	0	0	0	0
H_0065_Diptera_Chironomidae	Chironomidae	detritivorous	3	0	3	3	0	0	0	0	6	0	0	0	0	0	1	0	0
H_0066_Diptera_Chironomus	Chironomidae	detritivorous	4	2	1	3	1	0	1	0	0	0	0	0	0	0	0	0	0
H_0105_Diptera_Sciaridae	Sciaridae	detritivorous	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0
H_0194_Diptera_Sciaridae	Sciaridae	detritivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0197_Diptera_Sciara	Sciaridae	detritivorous	4	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0
H_0203_Ephemeroptera_Cloeon	Baetidae	detritivorous	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0206_Collembola_Homidia	Entomobryidae	detritivorous	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0287_Diptera_Mycetophilidae	Mycetophilidae	detritivorous	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0321_Diptera_Bradysia	Sciaridae	detritivorous	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0349_Diptera_Mycetophilidae	Mycetophilidae	detritivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0387_Diptera_Chironomus	Chironomidae	detritivorous	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0443_Diptera_Pseudolycoriella	Sciaridae	detritivorous	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0487_Collembola_Homidia	Entomobryidae	detritivorous	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0
H_0526_Diptera_Bradysia	Sciaridae	detritivorous	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
H_0549_Diptera_Mycetophilidae	Mycetophilidae	detritivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0550_Diptera_Cricotopus	Chironomidae	detritivorous	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0
H_0583_Diptera_Cricotopus	Chironomidae	detritivorous	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0602_Diptera_Mycetophilidae	Mycetophilidae	detritivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0661_Collembola_Homidia	Entomobryidae	detritivorous	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0668_Diptera_Chironomidae	Chironomidae	detritivorous	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0674_Diptera_Dolichosciara	Sciaridae	detritivorous	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
H_0744_Diptera_Mycetophilidae	Mycetophilidae	detritivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0758_Diptera_Sciaridae	Sciaridae	detritivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0759_Diptera_Mycetophilidae	Mycetophilidae	detritivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0793_Diptera_Chironomidae	Chironomidae	detritivorous	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0805_Diptera_Sciaridae	Sciaridae	detritivorous	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
H_0909_Collembola_Homidia	Entomobryidae	detritivorous	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0925_Collembola_Homidia	Entomobryidae	detritivorous	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0946_Diptera_Mycetophilidae	Mycetophilidae	detritivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_1001_Diptera_Mycetophilidae	Mycetophilidae	detritivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_1032_Diptera_Chironomidae	Chironomidae	detritivorous	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_1040_Diptera_Sciaridae	Sciaridae	detritivorous	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
