hexa_id	family	diet	Ebrechtella_tricuspidata	Leucauge_blanda	Cyclosa_sedeculata	Tetragnatha_caudicula	Cheiracanthium_japonicum	Neoscona_scylloides	Salticidae_sp.6	Oxyopes_sertatus	Diaea_subdola	Neriene_radiata	Mimetus_sp.	Pachygnatha_tenera	Neoscona_adianta	Philodromus_sp.	Salticidae_sp.5	Tetragnatha_squamata	Sitticus_sp.	Tetragnatha_praedonia	Thomisus_labefactus	Mendoza_elongata	Argiope_bruennichi	Neoscona_mellotteei
H_0046_Collembola_Homidia	Entomobryidae	detritivorous	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
H_0055_Diptera_Homoneura	Lauxaniidae	detritivorous	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0062_Diptera_Sarcophaga	Sarcophagidae	detritivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0065_Diptera_Chironomidae	Chironomidae	detritivorous	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0089_Diptera_Bradysia	Sciaridae	detritivorous	5	4	5	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
H_0105_Diptera_Sciaridae	Sciaridae	detritivorous	0	0	3	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
H_0142_Diptera_Chironomus	Chironomidae	detritivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0165_Diptera_Bradysia	Sciaridae	detritivorous	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
H_0194_Diptera_Sciaridae	Sciaridae	detritivorous	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
H_0197_Diptera_Sciara	Sciaridae	detritivorous	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0256_Diptera_Minettia	Lauxaniidae	detritivorous	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0282_Diptera_Sciaridae	Sciaridae	detritivorous	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0299_Diptera_Bradysia	Sciaridae	detritivorous	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0321_Diptera_Bradysia	Sciaridae	detritivorous	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0327_Diptera_Sciaridae	Sciaridae	detritivorous	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0331_Diptera_Mycetophilidae	Mycetophilidae	detritivorous	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0336_Diptera_Bradysia	Sciaridae	detritivorous	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0421_Diptera_Bradysia	Sciaridae	detritivorous	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0422_Diptera_Sciaridae	Sciaridae	detritivorous	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
H_0448_Diptera_Boletina	Mycetophilidae	detritivorous	2	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0550_Diptera_Cricotopus	Chironomidae	detritivorous	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0595_Diptera_Mycetophilidae	Mycetophilidae	detritivorous	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0624_Diptera_Sciaridae	Sciaridae	detritivorous	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0631_Diptera_Sciaridae	Sciaridae	detritivorous	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0668_Diptera_Chironomidae	Chironomidae	detritivorous	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
H_0741_Diptera_Sciaridae	Sciaridae	detritivorous	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0779_Diptera_Sciaridae	Sciaridae	detritivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0900_Psocoptera_Peripsocidae	Peripsocidae	detritivorous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
H_1059_Diptera_Bradysia	Sciaridae	detritivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_1153_Diptera_Sciaridae	Sciaridae	detritivorous	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
