hexa_id	family	diet	Argiope_bruennichi	Leucauge_blanda	Tetragnatha_caudicula	Xysticus_sp.	Oxyopes_sertatus	Neoscona_scylloides	Cyclosa_atrata	Nephila_clavata	Tetragnatha_praedonia	Clubiona_sp.	Ebrechtella_tricuspidata	Neoscona_mellotteei	Agelena_silvatica	Neriene_radiata	Parasteatoda_japonica	Thomisus_labefactus	Araneidae_sp.1	Mendoza_elongata	Linyphiidae_sp.5	Salticidae_sp.2	Araneus_abscissus
H_0030_Diptera_Chironomidae	Chironomidae	detritivorous	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0036_Diptera_Chironomus	Chironomidae	detritivorous	16	0	2	5	0	0	1	1	0	0	1	0	0	1	0	0	0	0	3	0	0
H_0042_Diptera_Chironomus	Chironomidae	detritivorous	43	0	3	4	1	0	2	0	1	0	2	1	0	2	0	1	1	1	4	1	0
H_0046_Collembola_Homidia	Entomobryidae	detritivorous	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0065_Diptera_Chironomidae	Chironomidae	detritivorous	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1
H_0066_Diptera_Chironomus	Chironomidae	detritivorous	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
H_0089_Diptera_Bradysia	Sciaridae	detritivorous	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0090_Diptera_Coboldia	Scatopsidae	detritivorous	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0102_Diptera_Homoneura	Lauxaniidae	detritivorous	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0105_Diptera_Sciaridae	Sciaridae	detritivorous	12	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
H_0108_Diptera_Sarcophagidae	Sarcophagidae	detritivorous	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0277_Diptera_Bradysia	Sciaridae	detritivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0321_Diptera_Bradysia	Sciaridae	detritivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0443_Diptera_Pseudolycoriella	Sciaridae	detritivorous	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0494_Ephemeroptera_Baetis	Baetidae	detritivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0532_Diptera_Sciaridae	Sciaridae	detritivorous	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0570_Diptera_Paratanytarsus	Chironomidae	detritivorous	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0599_Diptera_Chironomus	Chironomidae	detritivorous	6	0	0	3	1	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0
H_0603_Diptera_Chironomidae	Chironomidae	detritivorous	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0667_Diptera_Sciaridae	Sciaridae	detritivorous	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0679_Diptera_Chaetosciara	Sciaridae	detritivorous	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
H_0731_Diptera_Mycetophilidae	Mycetophilidae	detritivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0958_Collembola_Hypogastruridae	Hypogastruridae	detritivorous	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
H_0986_Diptera_Chironomidae	Chironomidae	detritivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_1026_Diptera_Sciaridae	Sciaridae	detritivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
