hexa_id	family	diet	Argiope_bruennichi	Leucauge_blanda	Tetragnatha_praedonia	Larinia_argiopiformis	Ebrechtella_tricuspidata	Oxyopes_sertatus	Clubiona_sp.	Nephila_clavata	Cyclosa_sedeculata	Xysticus_sp.	Neriene_radiata	Mendoza_elongata	Salticidae_sp.3	Salticidae_sp.6	Sitticus_sp.	Oxytate_striatipes	Myrmarachne_sp.	Thomisus_labefactus	Neoscona_scylloides	Cheiracanthium_japonicum	Araneus_abscissus	Linyphiidae_sp.5	Salticidae_sp.1	Salticidae_sp.2	Cyrtarachne_nagasakiensis	Oxyopes_badius	Neoscona_adianta
H_0030_Diptera_Chironomidae	Chironomidae	detritivorous	2	17	2	4	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
H_0036_Diptera_Chironomus	Chironomidae	detritivorous	3	5	0	2	3	0	0	1	0	3	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
H_0039_Blattodea_Blattella.bisignata	Ectobiidae	detritivorous	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0042_Diptera_Chironomus	Chironomidae	detritivorous	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
H_0046_Collembola_Homidia	Entomobryidae	detritivorous	9	0	0	6	2	0	1	0	5	12	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0
H_0055_Diptera_Homoneura	Lauxaniidae	detritivorous	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0065_Diptera_Chironomidae	Chironomidae	detritivorous	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0089_Diptera_Bradysia	Sciaridae	detritivorous	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0090_Diptera_Coboldia	Scatopsidae	detritivorous	5	4	0	3	3	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1
H_0105_Diptera_Sciaridae	Sciaridae	detritivorous	6	14	0	7	0	0	0	0	8	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
H_0137_Diptera_Austrosciara	Sciaridae	detritivorous	1	23	0	1	3	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
H_0181_Diptera_Sciaridae	Sciaridae	detritivorous	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0197_Diptera_Sciara	Sciaridae	detritivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0203_Ephemeroptera_Cloeon	Baetidae	detritivorous	2	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0206_Collembola_Homidia	Entomobryidae	detritivorous	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0256_Diptera_Minettia	Lauxaniidae	detritivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0261_Collembola_Tomocerus	Tomoceridae	detritivorous	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0277_Diptera_Bradysia	Sciaridae	detritivorous	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0282_Diptera_Sciaridae	Sciaridae	detritivorous	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0290_Collembola_Homidia	Entomobryidae	detritivorous	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0299_Diptera_Bradysia	Sciaridae	detritivorous	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
