hexa_id	family	diet	Oxyopes_sertatus	Pachygnatha_tenera	Cyclosa_sedeculata	Ebrechtella_tricuspidata	Clubiona_sp.	Salticidae_sp.2	Larinia_argiopiformis	Cheiracanthium_japonicum	Mendoza_elongata	Argiope_bruennichi	Nephila_clavata	Leucauge_blanda	Diaea_subdola	Salticidae_sp.6	Salticidae_sp.5	Thomisus_labefactus	Xysticus_sp.	Araneus_abscissus	Argiope_amoena	Neoscona_mellotteei	Myrmarachne_sp.	Neoscona_scylloides
H_0030_Diptera_Chironomidae	Chironomidae	detritivorous	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
H_0036_Diptera_Chironomus	Chironomidae	detritivorous	3	0	1	3	0	1	1	1	0	0	1	0	0	1	0	1	6	2	0	0	0	0
H_0039_Blattodea_Blattella.bisignata	Ectobiidae	detritivorous	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
H_0042_Diptera_Chironomus	Chironomidae	detritivorous	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	2	1	1	0	0	0
H_0046_Collembola_Homidia	Entomobryidae	detritivorous	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0090_Diptera_Coboldia	Scatopsidae	detritivorous	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
H_0137_Diptera_Austrosciara	Sciaridae	detritivorous	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0181_Diptera_Sciaridae	Sciaridae	detritivorous	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0203_Ephemeroptera_Cloeon	Baetidae	detritivorous	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	1	3	0	0	0	0	0
H_0443_Diptera_Pseudolycoriella	Sciaridae	detritivorous	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0549_Diptera_Mycetophilidae	Mycetophilidae	detritivorous	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
H_0668_Diptera_Chironomidae	Chironomidae	detritivorous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
