hexa_id	family	diet	Oxyopes_sertatus	Linyphiidae_sp.5	Ebrechtella_tricuspidata	Xysticus_sp.	Thomisus_labefactus	Tetragnatha_caudicula	Mendoza_elongata	Nephila_clavata	Cheiracanthium_japonicum	Araneus_abscissus	Neoscona_adianta	Neriene_radiata	Clubiona_sp.	Oxytate_striatipes	Larinia_argiopiformis	Lycosidae_sp.1	Argyrodes_bonadea	Salticidae_sp.2	Argiope_amoena	Pardosa_sp.	Tetragnatha_praedonia	Allagelena_opulenta	Salticidae_sp.6	Hypsosinga_pygmaea
H_0036_Diptera_Chironomus	Chironomidae	detritivorous	22	0	11	10	1	1	4	3	1	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0
H_0039_Blattodea_Blattella.bisignata	Ectobiidae	detritivorous	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0042_Diptera_Chironomus	Chironomidae	detritivorous	42	1	13	8	1	15	4	2	1	0	0	0	1	0	2	0	0	0	0	2	2	1	1	0
H_0046_Collembola_Homidia	Entomobryidae	detritivorous	33	0	9	8	0	7	2	0	0	0	0	0	1	1	1	0	0	0	0	2	2	0	0	0
H_0065_Diptera_Chironomidae	Chironomidae	detritivorous	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0066_Diptera_Chironomus	Chironomidae	detritivorous	15	0	5	2	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
H_0090_Diptera_Coboldia	Scatopsidae	detritivorous	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0105_Diptera_Sciaridae	Sciaridae	detritivorous	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0137_Diptera_Austrosciara	Sciaridae	detritivorous	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0181_Diptera_Sciaridae	Sciaridae	detritivorous	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
H_0203_Ephemeroptera_Cloeon	Baetidae	detritivorous	5	0	5	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
H_0206_Collembola_Homidia	Entomobryidae	detritivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0296_Diptera_Sciaridae	Sciaridae	detritivorous	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0377_Diptera_Sciaridae	Sciaridae	detritivorous	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0443_Diptera_Pseudolycoriella	Sciaridae	detritivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
H_0487_Collembola_Homidia	Entomobryidae	detritivorous	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0550_Diptera_Cricotopus	Chironomidae	detritivorous	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0603_Diptera_Chironomidae	Chironomidae	detritivorous	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0649_Diptera_Neoplatyura	Keroplatidae	detritivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0674_Diptera_Dolichosciara	Sciaridae	detritivorous	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0762_Diptera_Sciaridae	Sciaridae	detritivorous	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0793_Diptera_Chironomidae	Chironomidae	detritivorous	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
H_0979_Diptera_Sciaridae	Sciaridae	detritivorous	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0986_Diptera_Chironomidae	Chironomidae	detritivorous	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0998_Diptera_Sciara	Sciaridae	detritivorous	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_1064_Diptera_Corynoptera	Sciaridae	detritivorous	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_1065_Diptera_Sciaridae	Sciaridae	detritivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
