hexa_id	family	diet	Oxyopes_sertatus	Tetragnatha_praedonia	Tetragnatha_caudicula	Ebrechtella_tricuspidata	Nephila_clavata	Neoscona_mellotteei	Clubiona_sp.	Diaea_subdola	Xysticus_sp.	Larinia_argiopiformis	Hypsosinga_pygmaea	Mendoza_elongata	Pardosa_sp.	Dolomedes_sp.	Thomisus_labefactus	Sitticus_sp.	Salticidae_sp.1
H_0075_Hemiptera_Sitobion.avenae	Aphididae	herbivorous	20	2	2	9	0	0	1	0	4	0	0	1	0	0	0	0	0
H_0106_Hemiptera_Rhopalosiphum.padi	Aphididae	herbivorous	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0125_Hemiptera_Cicadellidae	Cicadellidae	herbivorous	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0128_Hemiptera_Cicadellidae	Cicadellidae	herbivorous	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0132_Hemiptera_Cicadellidae	Cicadellidae	herbivorous	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
H_0179_Hemiptera_Pseudoregma.panicola	Hormaphididae	herbivorous	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0180_Hemiptera_Bemisia	Aleyrodidae	herbivorous	1	1	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0
H_0186_Hemiptera_Aphis.spiraecola	Aphididae	herbivorous	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0195_Diptera_Tipulidae	Tipulidae	herbivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0199_Hemiptera_Cicadellidae	Cicadellidae	herbivorous	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0207_Coleoptera_Curculionidae	Curculionidae	herbivorous	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0215_Hemiptera_Cicadellidae	Cicadellidae	herbivorous	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
H_0223_Hemiptera_Cicadellidae	Cicadellidae	herbivorous	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0226_Hemiptera_Aphididae	Aphididae	herbivorous	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0227_Hemiptera_Cicadellidae	Cicadellidae	herbivorous	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
