hexa_id	family	diet	Oxyopes_sertatus	Tetragnatha_caudicula	Argiope_amoena	Xysticus_sp.	Leucauge_blanda	Ebrechtella_tricuspidata	Tetragnatha_praedonia	Diaea_subdola	Pardosa_sp.	Oxytate_striatipes	Neriene_radiata
H_0017_Hemiptera_Bothrogonia	Cicadellidae	herbivorous	6	0	0	0	0	0	0	0	0	0	0
H_0035_Hemiptera_Aphididae	Aphididae	herbivorous	3	0	0	2	0	0	0	0	0	1	0
H_0075_Hemiptera_Sitobion.avenae	Aphididae	herbivorous	4	1	0	1	0	0	0	0	0	1	0
H_0106_Hemiptera_Rhopalosiphum.padi	Aphididae	herbivorous	1	0	0	0	0	0	0	0	0	0	0
H_0128_Hemiptera_Cicadellidae	Cicadellidae	herbivorous	1	1	0	0	0	0	0	0	0	0	0
H_0135_Coleoptera_Chrysomelidae	Chrysomelidae	herbivorous	1	0	0	0	0	0	0	0	0	0	0
H_0179_Hemiptera_Pseudoregma.panicola	Hormaphididae	herbivorous	1	0	0	0	0	0	0	0	0	0	0
H_0180_Hemiptera_Bemisia	Aleyrodidae	herbivorous	1	0	0	0	0	0	0	0	0	0	0
H_0199_Hemiptera_Cicadellidae	Cicadellidae	herbivorous	2	0	0	0	0	0	0	0	0	0	0
H_0215_Hemiptera_Cicadellidae	Cicadellidae	herbivorous	2	0	0	0	0	1	0	0	0	0	0
H_0223_Hemiptera_Cicadellidae	Cicadellidae	herbivorous	0	1	0	0	0	0	0	0	0	1	0
H_0226_Hemiptera_Aphididae	Aphididae	herbivorous	5	0	0	2	0	0	0	0	0	0	0
H_0227_Hemiptera_Cicadellidae	Cicadellidae	herbivorous	0	0	0	1	0	0	0	0	0	0	0
H_0232_Coleoptera_Chrysomelidae	Chrysomelidae	herbivorous	1	0	0	0	0	0	0	0	0	0	0
H_0268_Hemiptera_Aphis	Aphididae	herbivorous	5	0	0	0	0	1	0	0	0	1	1
H_0280_Hemiptera_Delphacidae	Delphacidae	herbivorous	0	0	0	2	0	1	1	0	0	0	0
H_0309_Hemiptera_Geisha.distinctissima	Flatidae	herbivorous	0	0	0	1	0	0	0	0	0	0	0
H_0356_Hemiptera_Cicadellidae	Cicadellidae	herbivorous	1	0	0	1	0	0	0	0	0	0	0
H_0400_Hemiptera_Aphididae	Aphididae	herbivorous	2	0	0	1	0	0	0	0	0	0	0
H_0431_Hemiptera_Aphididae	Aphididae	herbivorous	1	0	0	0	0	0	0	0	1	0	0
H_0434_Lepidoptera_Geometridae	Geometridae	herbivorous	0	0	0	0	0	1	0	0	0	0	0
H_0457_Hemiptera_Empoascanara	Cicadellidae	herbivorous	1	0	0	0	0	0	0	0	0	0	0
H_0468_Hemiptera_Aphididae	Aphididae	herbivorous	0	0	0	0	0	0	0	0	0	1	0
H_0522_Lepidoptera_Pelopidas.mathias	Hesperiidae	herbivorous	0	0	0	0	0	1	0	0	0	0	0
H_0563_Hemiptera_Aphididae	Aphididae	herbivorous	0	0	0	1	0	1	0	0	0	0	0
H_0576_Coleoptera_Chrysomelidae	Chrysomelidae	herbivorous	1	0	0	0	0	0	0	0	0	0	0
H_0584_Hemiptera_Anoecia	Anoeciidae	herbivorous	1	0	0	1	0	0	0	0	0	0	0
H_0589_Hemiptera_Aphididae	Aphididae	herbivorous	0	0	0	1	0	0	0	0	0	1	0
H_0678_Hemiptera_Anoecia	Anoeciidae	herbivorous	1	0	0	0	0	0	0	0	0	0	0
H_0686_Hemiptera_Cicadellidae	Cicadellidae	herbivorous	1	0	0	0	0	0	0	0	0	0	0
H_0697_Hemiptera_Anoecia	Anoeciidae	herbivorous	3	0	0	0	0	0	0	0	0	0	0
H_0727_Hymenoptera_Athalia	Tenthredinidae	herbivorous	0	0	0	1	0	0	0	0	0	0	0
H_0767_Hemiptera_Cicadellidae	Cicadellidae	herbivorous	1	0	0	0	0	0	0	0	0	0	0
H_0783_Hemiptera_Tuberculatus	Aphididae	herbivorous	0	0	0	0	1	0	0	0	0	0	0
H_0799_Hemiptera_Aphididae	Aphididae	herbivorous	3	0	0	1	0	0	0	0	0	0	0
H_0908_Lepidoptera_Ctenoplusia	Noctuidae	herbivorous	0	0	0	1	0	0	0	0	0	0	0
H_0960_Hemiptera_Aphididae	Aphididae	herbivorous	4	0	0	2	0	4	0	0	1	0	0
H_1002_Hemiptera_Aphididae	Aphididae	herbivorous	2	0	0	0	0	0	0	0	0	0	0
H_1046_Lepidoptera_Vanessa.cardui	Nymphalidae	herbivorous	1	0	0	0	0	0	0	0	0	0	0
H_1205_Hemiptera_Aphididae	Aphididae	herbivorous	5	0	0	1	0	0	0	0	0	0	0
