hexa_id	family	diet	Argiope_bruennichi	Leucauge_blanda	Tetragnatha_caudicula	Xysticus_sp.	Oxyopes_sertatus	Neoscona_scylloides	Cyclosa_atrata	Nephila_clavata	Tetragnatha_praedonia	Clubiona_sp.	Ebrechtella_tricuspidata	Neoscona_mellotteei	Agelena_silvatica	Neriene_radiata	Parasteatoda_japonica	Thomisus_labefactus	Araneidae_sp.1	Mendoza_elongata	Linyphiidae_sp.5	Salticidae_sp.2	Araneus_abscissus
H_0004_Orthoptera_Acrididae	Acrididae	herbivorous	9	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
H_0017_Hemiptera_Bothrogonia	Cicadellidae	herbivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0018_Hemiptera_Cavariella	Aphididae	herbivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0019_Coleoptera_Plagiodera.versicolora	Chrysomelidae	herbivorous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
H_0035_Hemiptera_Aphididae	Aphididae	herbivorous	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0060_Orthoptera_Acrida	Acrididae	herbivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0068_Coleoptera_Chrysomelidae	Chrysomelidae	herbivorous	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0075_Hemiptera_Sitobion.avenae	Aphididae	herbivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0083_Lepidoptera_Cupido.argiades	Lycaenidae	herbivorous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
H_0091_Hemiptera_Therioaphis.trifolii	Aphididae	herbivorous	3	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
H_0106_Hemiptera_Rhopalosiphum.padi	Aphididae	herbivorous	5	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
H_0125_Hemiptera_Cicadellidae	Cicadellidae	herbivorous	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0132_Hemiptera_Cicadellidae	Cicadellidae	herbivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0157_Hemiptera_Aphrophora	Aphrophoridae	herbivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0160_Orthoptera_Atractomorpha	Pyrgomorphidae	herbivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0186_Hemiptera_Aphis.spiraecola	Aphididae	herbivorous	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
H_0195_Diptera_Tipulidae	Tipulidae	herbivorous	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0199_Hemiptera_Cicadellidae	Cicadellidae	herbivorous	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0226_Hemiptera_Aphididae	Aphididae	herbivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0227_Hemiptera_Cicadellidae	Cicadellidae	herbivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0267_Coleoptera_Curculionidae	Curculionidae	herbivorous	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0268_Hemiptera_Aphis	Aphididae	herbivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0293_Diptera_Ensina.sonchi	Tephritidae	herbivorous	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0305_Hemiptera_Riptortus.pedestris	Alydidae	herbivorous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
H_0316_Hemiptera_Delphacidae	Delphacidae	herbivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0317_Hemiptera_Cicadellidae	Cicadellidae	herbivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0379_Hemiptera_Aphididae	Aphididae	herbivorous	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
H_0392_Hemiptera_Cicadellidae	Cicadellidae	herbivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0417_Coleoptera_Endomychidae	Endomychidae	herbivorous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
H_0431_Hemiptera_Aphididae	Aphididae	herbivorous	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0433_Hemiptera_Cicadellidae	Cicadellidae	herbivorous	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0455_Hemiptera_Rhopalidae	Rhopalidae	herbivorous	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0457_Hemiptera_Empoascanara	Cicadellidae	herbivorous	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0466_Hemiptera_Aphididae	Aphididae	herbivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0483_Coleoptera_Tychius	Curculionidae	herbivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0544_Thysanoptera_Thripidae	Thripidae	herbivorous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
H_0614_Hemiptera_Cymus	Cymidae	herbivorous	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0663_Lepidoptera_Pyralidae	Pyralidae	herbivorous	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
H_0697_Hemiptera_Anoecia	Anoeciidae	herbivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0721_Hemiptera_Aphididae	Aphididae	herbivorous	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0724_Hemiptera_Cicadellidae	Cicadellidae	herbivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0774_Orthoptera_Oxya	Acrididae	herbivorous	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0783_Hemiptera_Tuberculatus	Aphididae	herbivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0799_Hemiptera_Aphididae	Aphididae	herbivorous	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0894_Orthoptera_Acrida	Acrididae	herbivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0935_Orthoptera_Acrididae	Acrididae	herbivorous	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0936_Hemiptera_Corythucha.marmorata	Tingidae	herbivorous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
H_0960_Hemiptera_Aphididae	Aphididae	herbivorous	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
H_1016_Hemiptera_Kolla	Cicadellidae	herbivorous	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_1081_Coleoptera_Chrysomelidae	Chrysomelidae	herbivorous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
H_1102_Lepidoptera_Lycaenidae	Lycaenidae	herbivorous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
H_1196_Hemiptera_Acyrthosiphon.pisum	Aphididae	herbivorous	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
