hexa_id	family	diet	Oxyopes_sertatus	Pachygnatha_tenera	Cyclosa_sedeculata	Ebrechtella_tricuspidata	Clubiona_sp.	Salticidae_sp.2	Larinia_argiopiformis	Cheiracanthium_japonicum	Mendoza_elongata	Argiope_bruennichi	Nephila_clavata	Leucauge_blanda	Diaea_subdola	Salticidae_sp.6	Salticidae_sp.5	Thomisus_labefactus	Xysticus_sp.	Araneus_abscissus	Argiope_amoena	Neoscona_mellotteei	Myrmarachne_sp.	Neoscona_scylloides
H_0004_Orthoptera_Acrididae	Acrididae	herbivorous	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0
H_0017_Hemiptera_Bothrogonia	Cicadellidae	herbivorous	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0
H_0029_Hemiptera_Rhopalidae	Rhopalidae	herbivorous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
H_0048_Hemiptera_Tropidocephala	Delphacidae	herbivorous	0	0	0	1	1	1	0	1	0	0	0	1	0	0	2	0	2	0	0	0	0	0
H_0060_Orthoptera_Acrida	Acrididae	herbivorous	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
H_0064_Orthoptera_Tetrigidae	Tetrigidae	herbivorous	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
H_0075_Hemiptera_Sitobion.avenae	Aphididae	herbivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0099_Lepidoptera_Lycaena	Lycaenidae	herbivorous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
H_0125_Hemiptera_Cicadellidae	Cicadellidae	herbivorous	0	0	1	1	0	0	0	0	1	1	1	2	0	0	0	1	2	0	1	0	0	0
H_0132_Hemiptera_Cicadellidae	Cicadellidae	herbivorous	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0
H_0135_Coleoptera_Chrysomelidae	Chrysomelidae	herbivorous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
H_0157_Hemiptera_Aphrophora	Aphrophoridae	herbivorous	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0
H_0180_Hemiptera_Bemisia	Aleyrodidae	herbivorous	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
H_0186_Hemiptera_Aphis.spiraecola	Aphididae	herbivorous	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
H_0199_Hemiptera_Cicadellidae	Cicadellidae	herbivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0227_Hemiptera_Cicadellidae	Cicadellidae	herbivorous	0	0	1	0	0	1	0	0	1	2	0	0	0	0	1	0	3	0	0	1	0	0
H_0249_Lepidoptera_Erebidae	Erebidae	herbivorous	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
H_0268_Hemiptera_Aphis	Aphididae	herbivorous	1	0	1	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0
H_0309_Hemiptera_Geisha.distinctissima	Flatidae	herbivorous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
H_0316_Hemiptera_Delphacidae	Delphacidae	herbivorous	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0
H_0317_Hemiptera_Cicadellidae	Cicadellidae	herbivorous	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
H_0359_Orthoptera_Gonista	Acrididae	herbivorous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
H_0378_Hemiptera_Delphacidae	Delphacidae	herbivorous	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0400_Hemiptera_Aphididae	Aphididae	herbivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0434_Lepidoptera_Geometridae	Geometridae	herbivorous	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
