hexa_id	family	diet	Oxyopes_sertatus	Linyphiidae_sp.5	Ebrechtella_tricuspidata	Xysticus_sp.	Thomisus_labefactus	Tetragnatha_caudicula	Mendoza_elongata	Nephila_clavata	Cheiracanthium_japonicum	Araneus_abscissus	Neoscona_adianta	Neriene_radiata	Clubiona_sp.	Oxytate_striatipes	Larinia_argiopiformis	Lycosidae_sp.1	Argyrodes_bonadea	Salticidae_sp.2	Argiope_amoena	Pardosa_sp.	Tetragnatha_praedonia	Allagelena_opulenta	Salticidae_sp.6	Hypsosinga_pygmaea
H_0035_Hemiptera_Aphididae	Aphididae	herbivorous	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0048_Hemiptera_Tropidocephala	Delphacidae	herbivorous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
H_0075_Hemiptera_Sitobion.avenae	Aphididae	herbivorous	12	0	6	1	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
H_0083_Lepidoptera_Cupido.argiades	Lycaenidae	herbivorous	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0125_Hemiptera_Cicadellidae	Cicadellidae	herbivorous	3	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0132_Hemiptera_Cicadellidae	Cicadellidae	herbivorous	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0157_Hemiptera_Aphrophora	Aphrophoridae	herbivorous	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0160_Orthoptera_Atractomorpha	Pyrgomorphidae	herbivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0180_Hemiptera_Bemisia	Aleyrodidae	herbivorous	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0186_Hemiptera_Aphis.spiraecola	Aphididae	herbivorous	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0195_Diptera_Tipulidae	Tipulidae	herbivorous	5	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
H_0199_Hemiptera_Cicadellidae	Cicadellidae	herbivorous	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
H_0207_Coleoptera_Curculionidae	Curculionidae	herbivorous	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0208_Lepidoptera_Sesamia	Noctuidae	herbivorous	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0214_Coleoptera_Rhinoncus	Curculionidae	herbivorous	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0218_Coleoptera_Chaetocnema	Chrysomelidae	herbivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0219_Lepidoptera_Eurema.hecabe	Pieridae	herbivorous	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0227_Hemiptera_Cicadellidae	Cicadellidae	herbivorous	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0232_Coleoptera_Chrysomelidae	Chrysomelidae	herbivorous	7	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0268_Hemiptera_Aphis	Aphididae	herbivorous	32	0	9	7	0	7	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
H_0269_Hemiptera_Bemisia	Aleyrodidae	herbivorous	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0280_Hemiptera_Delphacidae	Delphacidae	herbivorous	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0309_Hemiptera_Geisha.distinctissima	Flatidae	herbivorous	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0316_Hemiptera_Delphacidae	Delphacidae	herbivorous	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
H_0317_Hemiptera_Cicadellidae	Cicadellidae	herbivorous	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0395_Hemiptera_Cicadellidae	Cicadellidae	herbivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0401_Lepidoptera_Crambidae	Crambidae	herbivorous	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0416_Hymenoptera_Halictidae	Halictidae	herbivorous	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0433_Hemiptera_Cicadellidae	Cicadellidae	herbivorous	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0434_Lepidoptera_Geometridae	Geometridae	herbivorous	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
H_0445_Lepidoptera_Noctuidae	Noctuidae	herbivorous	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0457_Hemiptera_Empoascanara	Cicadellidae	herbivorous	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0473_Hemiptera_Cicadellidae	Cicadellidae	herbivorous	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
H_0497_Lepidoptera_Ostrinia	Crambidae	herbivorous	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0505_Lepidoptera_Crambidae	Crambidae	herbivorous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
H_0507_Lepidoptera_Crambidae	Crambidae	herbivorous	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0522_Lepidoptera_Pelopidas.mathias	Hesperiidae	herbivorous	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0528_Diptera_Tipulidae	Tipulidae	herbivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
H_0571_Lepidoptera_Noctuidae	Noctuidae	herbivorous	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0611_Hymenoptera_Halictidae	Halictidae	herbivorous	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0644_Hemiptera_Aleyrodidae	Aleyrodidae	herbivorous	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0719_Diptera_Tipulidae	Tipulidae	herbivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0751_Hemiptera_Cicadellidae	Cicadellidae	herbivorous	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0760_Hemiptera_Cicadellidae	Cicadellidae	herbivorous	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0799_Hemiptera_Aphididae	Aphididae	herbivorous	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0806_Hemiptera_Bemisia.tabaci	Aleyrodidae	herbivorous	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0807_Lepidoptera_Mythimna.separata	Noctuidae	herbivorous	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0813_Hemiptera_Issidae	Issidae	herbivorous	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0908_Lepidoptera_Ctenoplusia	Noctuidae	herbivorous	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0920_Hemiptera_Laodelphax.striatellus	Delphacidae	herbivorous	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
H_0923_Diptera_Tipulidae	Tipulidae	herbivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0924_Coleoptera_Chrysomelidae	Chrysomelidae	herbivorous	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0929_Coleoptera_Chrysomelidae	Chrysomelidae	herbivorous	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0960_Hemiptera_Aphididae	Aphididae	herbivorous	4	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
H_0968_Hemiptera_Cicadellidae	Cicadellidae	herbivorous	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0973_Hemiptera_Cicadellidae	Cicadellidae	herbivorous	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
H_0995_Lepidoptera_Spodoptera	Noctuidae	herbivorous	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0997_Lepidoptera_Helicoverpa	Noctuidae	herbivorous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
H_1005_Lepidoptera_Crambidae	Crambidae	herbivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_1043_Lepidoptera_Noctuidae	Noctuidae	herbivorous	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_1073_Lepidoptera_Geometridae	Geometridae	herbivorous	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_1110_Coleoptera_Chrysomelidae	Chrysomelidae	herbivorous	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_1114_Lepidoptera_Noctuidae	Noctuidae	herbivorous	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
