hexa_id	family	diet	Oxyopes_sertatus	Tetragnatha_praedonia	Tetragnatha_caudicula	Ebrechtella_tricuspidata	Nephila_clavata	Neoscona_mellotteei	Clubiona_sp.	Diaea_subdola	Xysticus_sp.	Larinia_argiopiformis	Hypsosinga_pygmaea	Mendoza_elongata	Pardosa_sp.	Dolomedes_sp.	Thomisus_labefactus	Sitticus_sp.	Salticidae_sp.1
H_0001_Hymenoptera_Formicidae	Formicidae	predatory/parasitic	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
H_0021_Dermaptera_Anisolabididae	Anisolabididae	predatory/parasitic	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0022_Hymenoptera_Nylanderia	Formicidae	predatory/parasitic	6	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
H_0028_Diptera_Exorista	Tachinidae	predatory/parasitic	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0041_Diptera_Culex	Culicidae	predatory/parasitic	61	2	22	5	0	1	1	0	13	0	0	0	0	0	1	0	0
H_0076_Coleoptera_Coccinella	Coccinellidae	predatory/parasitic	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0077_Diptera_Pipunculidae	Pipunculidae	predatory/parasitic	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0081_Hymenoptera_Formicidae	Formicidae	predatory/parasitic	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0170_Diptera_Exorista	Tachinidae	predatory/parasitic	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0193_Diptera_Pipunculidae	Pipunculidae	predatory/parasitic	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0210_Neuroptera_Chrysoperla	Chrysopidae	predatory/parasitic	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0264_Diptera_Aplomya	Tachinidae	predatory/parasitic	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0279_Hymenoptera_Aphidius	Braconidae	predatory/parasitic	3	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0
H_0286_Lithobiomorpha_Lithobiidae	Lithobiidae	predatory/parasitic	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0315_Hymenoptera_Formicidae	Formicidae	predatory/parasitic	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
H_0345_Coleoptera_Carabidae	Carabidae	predatory/parasitic	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0394_Hymenoptera_Eulophidae	Eulophidae	predatory/parasitic	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0420_Diptera_Culicidae	Culicidae	predatory/parasitic	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0451_Diptera_Anopheles	Culicidae	predatory/parasitic	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0453_Diptera_Aedes.albopictus	Culicidae	predatory/parasitic	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0462_Hymenoptera_Formicidae	Formicidae	predatory/parasitic	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
H_0465_Diptera_Forcipomyia	Ceratopogonidae	predatory/parasitic	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0515_Diptera_Culicoides	Ceratopogonidae	predatory/parasitic	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0617_Neuroptera_Mantispidae	Mantispidae	predatory/parasitic	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0722_Hymenoptera_Encarsia	Aphelinidae	predatory/parasitic	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0753_Diptera_Sepedon	Sciomyzidae	predatory/parasitic	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_1013_Hymenoptera_Braconidae	Braconidae	predatory/parasitic	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_1161_Hymenoptera_Diapriidae	Diapriidae	predatory/parasitic	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
