hexa_id	family	diet	Oxyopes_sertatus	Tetragnatha_caudicula	Argiope_amoena	Xysticus_sp.	Leucauge_blanda	Ebrechtella_tricuspidata	Tetragnatha_praedonia	Diaea_subdola	Pardosa_sp.	Oxytate_striatipes	Neriene_radiata
H_0001_Hymenoptera_Formicidae	Formicidae	predatory/parasitic	0	0	0	1	0	0	0	0	0	0	0
H_0022_Hymenoptera_Nylanderia	Formicidae	predatory/parasitic	1	0	0	0	0	0	0	0	0	0	0
H_0028_Diptera_Exorista	Tachinidae	predatory/parasitic	0	0	0	1	0	0	0	0	0	0	0
H_0034_Hymenoptera_Pteromalus.puparum	Pteromalidae	predatory/parasitic	1	0	0	0	0	0	0	0	0	0	0
H_0038_Coleoptera_Propylea	Coccinellidae	predatory/parasitic	0	0	0	1	0	0	0	0	0	0	0
H_0041_Diptera_Culex	Culicidae	predatory/parasitic	4	1	0	0	0	0	0	0	0	1	0
H_0069_Hymenoptera_Formicidae	Formicidae	predatory/parasitic	1	0	0	0	0	0	0	0	0	0	0
H_0071_Hemiptera_Orius	Anthocoridae	predatory/parasitic	0	0	0	0	1	0	0	0	0	0	0
H_0076_Coleoptera_Coccinella	Coccinellidae	predatory/parasitic	0	0	0	1	0	0	0	0	0	0	0
H_0093_Hymenoptera_Trichogramma	Trichogrammatidae	predatory/parasitic	1	0	0	0	0	0	0	0	0	0	0
H_0193_Diptera_Pipunculidae	Pipunculidae	predatory/parasitic	0	1	0	0	0	0	0	0	0	0	0
H_0279_Hymenoptera_Aphidius	Braconidae	predatory/parasitic	0	0	0	0	1	1	0	0	0	0	0
H_0394_Hymenoptera_Eulophidae	Eulophidae	predatory/parasitic	0	0	0	0	1	0	0	0	0	0	0
H_0543_Hymenoptera_Braconidae	Braconidae	predatory/parasitic	1	0	0	0	0	0	0	0	0	0	0
H_0552_Hemiptera_Saldula	Saldidae	predatory/parasitic	1	0	0	0	0	0	0	0	0	0	0
H_0836_Diptera_Culicidae	Culicidae	predatory/parasitic	1	0	0	0	0	0	0	0	0	0	0
H_1009_Coleoptera_Cantharidae	Cantharidae	predatory/parasitic	0	0	0	1	0	0	0	0	0	0	0
H_1161_Hymenoptera_Diapriidae	Diapriidae	predatory/parasitic	0	0	0	1	0	0	0	0	0	0	0
