hexa_id	family	diet	Ebrechtella_tricuspidata	Leucauge_blanda	Cyclosa_sedeculata	Tetragnatha_caudicula	Cheiracanthium_japonicum	Neoscona_scylloides	Salticidae_sp.6	Oxyopes_sertatus	Diaea_subdola	Neriene_radiata	Mimetus_sp.	Pachygnatha_tenera	Neoscona_adianta	Philodromus_sp.	Salticidae_sp.5	Tetragnatha_squamata	Sitticus_sp.	Tetragnatha_praedonia	Thomisus_labefactus	Mendoza_elongata	Argiope_bruennichi	Neoscona_mellotteei
H_0007_Diptera_Empididae	Empididae	predatory/parasitic	0	4	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
H_0116_Diptera_Atrichopogon	Ceratopogonidae	predatory/parasitic	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0200_Coleoptera_Cantharidae	Cantharidae	predatory/parasitic	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0343_Diptera_Empididae	Empididae	predatory/parasitic	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
H_0361_Hymenoptera_Braconidae	Braconidae	predatory/parasitic	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0551_Diptera_Empididae	Empididae	predatory/parasitic	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0715_Hymenoptera_Eulophidae	Eulophidae	predatory/parasitic	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0798_Hymenoptera_Exallonyx	Proctotrupidae	predatory/parasitic	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0882_Hymenoptera_Ichneumonidae	Ichneumonidae	predatory/parasitic	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0903_Diptera_Rhamphomyia	Empididae	predatory/parasitic	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0944_Diptera_Empididae	Empididae	predatory/parasitic	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_1105_Hymenoptera_Aphelinus	Aphelinidae	predatory/parasitic	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
