hexa_id	family	diet	Oxyopes_sertatus	Pachygnatha_tenera	Cyclosa_sedeculata	Ebrechtella_tricuspidata	Clubiona_sp.	Salticidae_sp.2	Larinia_argiopiformis	Cheiracanthium_japonicum	Mendoza_elongata	Argiope_bruennichi	Nephila_clavata	Leucauge_blanda	Diaea_subdola	Salticidae_sp.6	Salticidae_sp.5	Thomisus_labefactus	Xysticus_sp.	Araneus_abscissus	Argiope_amoena	Neoscona_mellotteei	Myrmarachne_sp.	Neoscona_scylloides
H_0001_Hymenoptera_Formicidae	Formicidae	predatory/parasitic	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	3	0	0	0	0
H_0022_Hymenoptera_Nylanderia	Formicidae	predatory/parasitic	3	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0
H_0037_Hymenoptera_Formicidae	Formicidae	predatory/parasitic	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
H_0071_Hemiptera_Orius	Anthocoridae	predatory/parasitic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
H_0081_Hymenoptera_Formicidae	Formicidae	predatory/parasitic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
H_0225_Hymenoptera_Eulophidae	Eulophidae	predatory/parasitic	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0237_Hymenoptera_Pheidole	Formicidae	predatory/parasitic	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
H_0255_Hymenoptera_Formica	Formicidae	predatory/parasitic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
H_0265_Coleoptera_Scymnus	Coccinellidae	predatory/parasitic	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0413_Hymenoptera_Formica	Formicidae	predatory/parasitic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
H_0418_Hymenoptera_Nylanderia	Formicidae	predatory/parasitic	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
H_0488_Odonata_Ischnura	Coenagrionidae	predatory/parasitic	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
H_0517_Odonata_Pantala.flavescens	Libellulidae	predatory/parasitic	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
H_0533_Hymenoptera_Formica	Formicidae	predatory/parasitic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
H_0590_Hymenoptera_Braconidae	Braconidae	predatory/parasitic	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
H_0612_Hymenoptera_Formica	Formicidae	predatory/parasitic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
H_0617_Neuroptera_Mantispidae	Mantispidae	predatory/parasitic	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0651_Hymenoptera_Formica	Formicidae	predatory/parasitic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
H_0713_Strepsiptera_Halictophagidae	Halictophagidae	predatory/parasitic	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
H_0725_Hymenoptera_Ceratobaeus	Scelionidae	predatory/parasitic	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0747_Hymenoptera_Formica	Formicidae	predatory/parasitic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
H_0763_Hymenoptera_Formica.cunicularia	Formicidae	predatory/parasitic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
