hexa_id	family	diet	Oxyopes_sertatus	Linyphiidae_sp.5	Ebrechtella_tricuspidata	Xysticus_sp.	Thomisus_labefactus	Tetragnatha_caudicula	Mendoza_elongata	Nephila_clavata	Cheiracanthium_japonicum	Araneus_abscissus	Neoscona_adianta	Neriene_radiata	Clubiona_sp.	Oxytate_striatipes	Larinia_argiopiformis	Lycosidae_sp.1	Argyrodes_bonadea	Salticidae_sp.2	Argiope_amoena	Pardosa_sp.	Tetragnatha_praedonia	Allagelena_opulenta	Salticidae_sp.6	Hypsosinga_pygmaea
H_0001_Hymenoptera_Formicidae	Formicidae	predatory/parasitic	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
H_0021_Dermaptera_Anisolabididae	Anisolabididae	predatory/parasitic	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0022_Hymenoptera_Nylanderia	Formicidae	predatory/parasitic	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
H_0041_Diptera_Culex	Culicidae	predatory/parasitic	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0093_Hymenoptera_Trichogramma	Trichogrammatidae	predatory/parasitic	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0139_Hymenoptera_Formicidae	Formicidae	predatory/parasitic	4	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0193_Diptera_Pipunculidae	Pipunculidae	predatory/parasitic	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0252_Hymenoptera_Lasius	Formicidae	predatory/parasitic	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0255_Hymenoptera_Formica	Formicidae	predatory/parasitic	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0315_Hymenoptera_Formicidae	Formicidae	predatory/parasitic	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0358_Hymenoptera_Aphaenogaster	Formicidae	predatory/parasitic	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0413_Hymenoptera_Formica	Formicidae	predatory/parasitic	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0462_Hymenoptera_Formicidae	Formicidae	predatory/parasitic	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
H_0465_Diptera_Forcipomyia	Ceratopogonidae	predatory/parasitic	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0467_Hymenoptera_Formicidae	Formicidae	predatory/parasitic	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0491_Hemiptera_Peirates	Reduviidae	predatory/parasitic	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0651_Hymenoptera_Formica	Formicidae	predatory/parasitic	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0718_Hymenoptera_Trichogramma	Trichogrammatidae	predatory/parasitic	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0810_Diptera_Culicoides	Ceratopogonidae	predatory/parasitic	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0836_Diptera_Culicidae	Culicidae	predatory/parasitic	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0926_Hymenoptera_Formicidae	Formicidae	predatory/parasitic	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0996_Hymenoptera_Ceraphronidae	Ceraphronidae	predatory/parasitic	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_1067_Hemiptera_Sphedanolestes	Reduviidae	predatory/parasitic	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
