hexa_id	family	diet	Oxyopes_sertatus	Tetragnatha_praedonia	Tetragnatha_caudicula	Ebrechtella_tricuspidata	Nephila_clavata	Neoscona_mellotteei	Clubiona_sp.	Diaea_subdola	Xysticus_sp.	Larinia_argiopiformis	Hypsosinga_pygmaea	Mendoza_elongata	Pardosa_sp.	Dolomedes_sp.	Thomisus_labefactus	Sitticus_sp.	Salticidae_sp.1
H_0001_Hymenoptera_Formicidae	Formicidae	predatory/parasitic	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
H_0002_Orthoptera_Conocephalus.maculatus	Tettigoniidae	variable	1	0	2	1	0	0	0	0	1	0	0	1	0	0	0	0	0
H_0011_Diptera_Diptera	Unidentified	unidentified	27	1	36	14	0	0	0	1	11	1	1	1	0	1	1	0	0
H_0014_Hemiptera_Nysius	Lygaeidae	variable	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0015_Diptera_Diptera	Unidentified	unidentified	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0
H_0021_Dermaptera_Anisolabididae	Anisolabididae	predatory/parasitic	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0022_Hymenoptera_Nylanderia	Formicidae	predatory/parasitic	6	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
H_0024_Diptera_Diptera	Unidentified	unidentified	4	2	3	2	0	0	0	1	4	0	0	0	0	0	0	0	0
H_0028_Diptera_Exorista	Tachinidae	predatory/parasitic	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0031_Diptera_Diptera	Unidentified	unidentified	9	0	3	4	0	0	0	0	7	0	0	0	0	0	0	0	0
H_0032_Diptera_Diptera	Unidentified	unidentified	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0036_Diptera_Chironomus	Chironomidae	detritivorous	9	0	7	5	0	0	0	0	7	0	0	1	1	0	1	0	1
H_0040_Lepidoptera_Lepidoptera	Unidentified	unidentified	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0041_Diptera_Culex	Culicidae	predatory/parasitic	61	2	22	5	0	1	1	0	13	0	0	0	0	0	1	0	0
H_0042_Diptera_Chironomus	Chironomidae	detritivorous	43	6	47	13	1	2	2	1	16	1	1	2	1	0	1	0	0
H_0043_Orthoptera_Conocephalus	Tettigoniidae	variable	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0044_Diptera_Diptera	Unidentified	unidentified	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0046_Collembola_Homidia	Entomobryidae	detritivorous	39	0	2	6	1	1	0	0	8	0	0	1	0	0	0	0	0
H_0050_Diptera_Diptera	Unidentified	unidentified	0	0	1	1	0	0	0	0	3	0	0	0	0	0	0	0	1
H_0052_Diptera_Drosophila	Drosophilidae	variable	2	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0
H_0065_Diptera_Chironomidae	Chironomidae	detritivorous	3	0	3	3	0	0	0	0	6	0	0	0	0	0	1	0	0
H_0066_Diptera_Chironomus	Chironomidae	detritivorous	4	2	1	3	1	0	1	0	0	0	0	0	0	0	0	0	0
H_0070_Diptera_Diptera	Unidentified	unidentified	4	0	1	4	0	0	0	1	4	0	0	0	0	0	0	0	0
H_0073_Diptera_Cecidomyiidae	Cecidomyiidae	variable	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0074_Diptera_Scaptomyza	Drosophilidae	variable	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0075_Hemiptera_Sitobion.avenae	Aphididae	herbivorous	20	2	2	9	0	0	1	0	4	0	0	1	0	0	0	0	0
H_0076_Coleoptera_Coccinella	Coccinellidae	predatory/parasitic	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0077_Diptera_Pipunculidae	Pipunculidae	predatory/parasitic	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0078_Diptera_Mayetiola	Cecidomyiidae	variable	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0079_Hemiptera_Nysius	Lygaeidae	variable	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0081_Hymenoptera_Formicidae	Formicidae	predatory/parasitic	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0087_Diptera_Diptera	Unidentified	unidentified	38	3	33	14	1	0	0	2	16	1	0	1	1	0	0	0	1
H_0092_Diptera_Rhopalomyia	Cecidomyiidae	variable	2	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0
H_0103_Orthoptera_Trigonidium	Gryllidae	variable	5	0	1	1	0	0	0	0	4	0	0	0	0	0	0	0	0
H_0105_Diptera_Sciaridae	Sciaridae	detritivorous	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0
H_0106_Hemiptera_Rhopalosiphum.padi	Aphididae	herbivorous	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0113_Diptera_Limoniidae	Limoniidae	variable	4	0	12	6	0	1	0	0	3	0	0	1	0	0	0	0	0
H_0118_Orthoptera_Tettigoniidae	Tettigoniidae	variable	2	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0
H_0123_Lepidoptera_Lepidoptera	Unidentified	unidentified	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0125_Hemiptera_Cicadellidae	Cicadellidae	herbivorous	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0128_Hemiptera_Cicadellidae	Cicadellidae	herbivorous	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0129_Diptera_Cecidomyiidae	Cecidomyiidae	variable	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0130_Diptera_Diptera	Unidentified	unidentified	1	1	1	5	0	0	0	1	2	0	0	0	0	0	0	0	0
H_0132_Hemiptera_Cicadellidae	Cicadellidae	herbivorous	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
H_0136_Lepidoptera_Lepidoptera	Unidentified	unidentified	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0140_Orthoptera_Polionemobius	Gryllidae	variable	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
H_0143_Diptera_Diptera	Unidentified	unidentified	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0147_Diptera_Cecidomyiidae	Cecidomyiidae	variable	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0150_Diptera_Gymnopternus	Dolichopodidae	variable	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0153_Diptera_Diptera	Unidentified	unidentified	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
