hexa_id	family	diet	Oxyopes_sertatus	Tetragnatha_caudicula	Argiope_amoena	Xysticus_sp.	Leucauge_blanda	Ebrechtella_tricuspidata	Tetragnatha_praedonia	Diaea_subdola	Pardosa_sp.	Oxytate_striatipes	Neriene_radiata
H_0001_Hymenoptera_Formicidae	Formicidae	predatory/parasitic	0	0	0	1	0	0	0	0	0	0	0
H_0005_Diptera_Diptera	Unidentified	unidentified	0	0	0	1	0	0	0	0	0	0	0
H_0011_Diptera_Diptera	Unidentified	unidentified	2	0	0	3	1	0	1	0	0	0	0
H_0015_Diptera_Diptera	Unidentified	unidentified	0	2	0	2	0	0	0	0	1	0	0
H_0017_Hemiptera_Bothrogonia	Cicadellidae	herbivorous	6	0	0	0	0	0	0	0	0	0	0
H_0022_Hymenoptera_Nylanderia	Formicidae	predatory/parasitic	1	0	0	0	0	0	0	0	0	0	0
H_0024_Diptera_Diptera	Unidentified	unidentified	16	2	0	7	2	4	1	0	2	0	0
H_0028_Diptera_Exorista	Tachinidae	predatory/parasitic	0	0	0	1	0	0	0	0	0	0	0
H_0031_Diptera_Diptera	Unidentified	unidentified	2	0	1	2	0	1	0	0	0	1	0
H_0034_Hymenoptera_Pteromalus.puparum	Pteromalidae	predatory/parasitic	1	0	0	0	0	0	0	0	0	0	0
H_0035_Hemiptera_Aphididae	Aphididae	herbivorous	3	0	0	2	0	0	0	0	0	1	0
H_0038_Coleoptera_Propylea	Coccinellidae	predatory/parasitic	0	0	0	1	0	0	0	0	0	0	0
H_0041_Diptera_Culex	Culicidae	predatory/parasitic	4	1	0	0	0	0	0	0	0	1	0
H_0042_Diptera_Chironomus	Chironomidae	detritivorous	1	0	0	3	0	1	0	0	0	0	0
H_0044_Diptera_Diptera	Unidentified	unidentified	0	0	0	0	1	0	0	0	0	0	0
H_0046_Collembola_Homidia	Entomobryidae	detritivorous	7	0	0	4	0	4	0	0	0	1	0
H_0069_Hymenoptera_Formicidae	Formicidae	predatory/parasitic	1	0	0	0	0	0	0	0	0	0	0
H_0070_Diptera_Diptera	Unidentified	unidentified	0	0	0	0	1	0	0	0	0	0	0
H_0071_Hemiptera_Orius	Anthocoridae	predatory/parasitic	0	0	0	0	1	0	0	0	0	0	0
H_0074_Diptera_Scaptomyza	Drosophilidae	variable	4	1	0	0	0	1	1	0	0	0	0
H_0075_Hemiptera_Sitobion.avenae	Aphididae	herbivorous	4	1	0	1	0	0	0	0	0	1	0
H_0076_Coleoptera_Coccinella	Coccinellidae	predatory/parasitic	0	0	0	1	0	0	0	0	0	0	0
H_0087_Diptera_Diptera	Unidentified	unidentified	0	0	0	3	1	1	0	0	0	0	0
H_0092_Diptera_Rhopalomyia	Cecidomyiidae	variable	0	0	0	0	1	0	0	0	0	0	0
H_0093_Hymenoptera_Trichogramma	Trichogrammatidae	predatory/parasitic	1	0	0	0	0	0	0	0	0	0	0
H_0097_Diptera_Diptera	Unidentified	unidentified	0	0	0	0	0	1	0	0	0	0	0
H_0106_Hemiptera_Rhopalosiphum.padi	Aphididae	herbivorous	1	0	0	0	0	0	0	0	0	0	0
