hexa_id	family	diet	Argiope_bruennichi	Leucauge_blanda	Tetragnatha_caudicula	Xysticus_sp.	Oxyopes_sertatus	Neoscona_scylloides	Cyclosa_atrata	Nephila_clavata	Tetragnatha_praedonia	Clubiona_sp.	Ebrechtella_tricuspidata	Neoscona_mellotteei	Agelena_silvatica	Neriene_radiata	Parasteatoda_japonica	Thomisus_labefactus	Araneidae_sp.1	Mendoza_elongata	Linyphiidae_sp.5	Salticidae_sp.2	Araneus_abscissus
H_0002_Orthoptera_Conocephalus.maculatus	Tettigoniidae	variable	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0004_Orthoptera_Acrididae	Acrididae	herbivorous	9	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
H_0005_Diptera_Diptera	Unidentified	unidentified	28	0	1	7	0	2	0	0	0	0	2	1	0	0	1	4	0	0	0	0	0
H_0011_Diptera_Diptera	Unidentified	unidentified	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0013_Diptera_Diptera	Unidentified	unidentified	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
H_0015_Diptera_Diptera	Unidentified	unidentified	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0017_Hemiptera_Bothrogonia	Cicadellidae	herbivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0018_Hemiptera_Cavariella	Aphididae	herbivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0019_Coleoptera_Plagiodera.versicolora	Chrysomelidae	herbivorous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
H_0020_Hymenoptera_Lasius	Formicidae	predatory/parasitic	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0030_Diptera_Chironomidae	Chironomidae	detritivorous	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0031_Diptera_Diptera	Unidentified	unidentified	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0032_Diptera_Diptera	Unidentified	unidentified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
H_0035_Hemiptera_Aphididae	Aphididae	herbivorous	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0036_Diptera_Chironomus	Chironomidae	detritivorous	16	0	2	5	0	0	1	1	0	0	1	0	0	1	0	0	0	0	3	0	0
H_0040_Lepidoptera_Lepidoptera	Unidentified	unidentified	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0042_Diptera_Chironomus	Chironomidae	detritivorous	43	0	3	4	1	0	2	0	1	0	2	1	0	2	0	1	1	1	4	1	0
H_0043_Orthoptera_Conocephalus	Tettigoniidae	variable	8	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
