hexa_id	family	diet	Argiope_bruennichi	Leucauge_blanda	Tetragnatha_praedonia	Larinia_argiopiformis	Ebrechtella_tricuspidata	Oxyopes_sertatus	Clubiona_sp.	Nephila_clavata	Cyclosa_sedeculata	Xysticus_sp.	Neriene_radiata	Mendoza_elongata	Salticidae_sp.3	Salticidae_sp.6	Sitticus_sp.	Oxytate_striatipes	Myrmarachne_sp.	Thomisus_labefactus	Neoscona_scylloides	Cheiracanthium_japonicum	Araneus_abscissus	Linyphiidae_sp.5	Salticidae_sp.1	Salticidae_sp.2	Cyrtarachne_nagasakiensis	Oxyopes_badius	Neoscona_adianta
H_0001_Hymenoptera_Formicidae	Formicidae	predatory/parasitic	1	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0002_Orthoptera_Conocephalus.maculatus	Tettigoniidae	variable	4	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
H_0004_Orthoptera_Acrididae	Acrididae	herbivorous	1	2	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0005_Diptera_Diptera	Unidentified	unidentified	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0006_Hymenoptera_Hymenoptera	Unidentified	unidentified	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0011_Diptera_Diptera	Unidentified	unidentified	0	3	0	3	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
H_0012_Diptera_Diptera	Unidentified	unidentified	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0013_Diptera_Diptera	Unidentified	unidentified	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0014_Hemiptera_Nysius	Lygaeidae	variable	2	0	0	0	4	1	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0
H_0015_Diptera_Diptera	Unidentified	unidentified	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0016_Hemiptera_Adelphocoris	Miridae	variable	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0017_Hemiptera_Bothrogonia	Cicadellidae	herbivorous	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
H_0020_Hymenoptera_Lasius	Formicidae	predatory/parasitic	5	13	2	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
H_0026_Hemiptera_Pentatomidae	Pentatomidae	herbivorous	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0029_Hemiptera_Rhopalidae	Rhopalidae	herbivorous	2	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0
H_0030_Diptera_Chironomidae	Chironomidae	detritivorous	2	17	2	4	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
H_0031_Diptera_Diptera	Unidentified	unidentified	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0033_Hemiptera_Coreidae	Coreidae	herbivorous	1	2	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0036_Diptera_Chironomus	Chironomidae	detritivorous	3	5	0	2	3	0	0	1	0	3	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
H_0037_Hymenoptera_Formicidae	Formicidae	predatory/parasitic	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0039_Blattodea_Blattella.bisignata	Ectobiidae	detritivorous	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0040_Lepidoptera_Lepidoptera	Unidentified	unidentified	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
H_0042_Diptera_Chironomus	Chironomidae	detritivorous	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
