hexa_id	family	diet	Oxyopes_sertatus	Linyphiidae_sp.5	Ebrechtella_tricuspidata	Xysticus_sp.	Thomisus_labefactus	Tetragnatha_caudicula	Mendoza_elongata	Nephila_clavata	Cheiracanthium_japonicum	Araneus_abscissus	Neoscona_adianta	Neriene_radiata	Clubiona_sp.	Oxytate_striatipes	Larinia_argiopiformis	Lycosidae_sp.1	Argyrodes_bonadea	Salticidae_sp.2	Argiope_amoena	Pardosa_sp.	Tetragnatha_praedonia	Allagelena_opulenta	Salticidae_sp.6	Hypsosinga_pygmaea
H_0001_Hymenoptera_Formicidae	Formicidae	predatory/parasitic	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
H_0011_Diptera_Diptera	Unidentified	unidentified	4	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0015_Diptera_Diptera	Unidentified	unidentified	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
H_0021_Dermaptera_Anisolabididae	Anisolabididae	predatory/parasitic	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0022_Hymenoptera_Nylanderia	Formicidae	predatory/parasitic	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
H_0023_Diptera_Diptera	Unidentified	unidentified	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0031_Diptera_Diptera	Unidentified	unidentified	0	0	4	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
H_0035_Hemiptera_Aphididae	Aphididae	herbivorous	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0036_Diptera_Chironomus	Chironomidae	detritivorous	22	0	11	10	1	1	4	3	1	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0
H_0039_Blattodea_Blattella.bisignata	Ectobiidae	detritivorous	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0040_Lepidoptera_Lepidoptera	Unidentified	unidentified	10	0	9	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
H_0041_Diptera_Culex	Culicidae	predatory/parasitic	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0042_Diptera_Chironomus	Chironomidae	detritivorous	42	1	13	8	1	15	4	2	1	0	0	0	1	0	2	0	0	0	0	2	2	1	1	0
H_0043_Orthoptera_Conocephalus	Tettigoniidae	variable	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0044_Diptera_Diptera	Unidentified	unidentified	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
H_0046_Collembola_Homidia	Entomobryidae	detritivorous	33	0	9	8	0	7	2	0	0	0	0	0	1	1	1	0	0	0	0	2	2	0	0	0
H_0048_Hemiptera_Tropidocephala	Delphacidae	herbivorous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
H_0052_Diptera_Drosophila	Drosophilidae	variable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
H_0063_Diptera_Diptera	Unidentified	unidentified	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0065_Diptera_Chironomidae	Chironomidae	detritivorous	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0066_Diptera_Chironomus	Chironomidae	detritivorous	15	0	5	2	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
H_0075_Hemiptera_Sitobion.avenae	Aphididae	herbivorous	12	0	6	1	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
H_0079_Hemiptera_Nysius	Lygaeidae	variable	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0083_Lepidoptera_Cupido.argiades	Lycaenidae	herbivorous	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0087_Diptera_Diptera	Unidentified	unidentified	1	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
H_0090_Diptera_Coboldia	Scatopsidae	detritivorous	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0092_Diptera_Rhopalomyia	Cecidomyiidae	variable	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0093_Hymenoptera_Trichogramma	Trichogrammatidae	predatory/parasitic	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0103_Orthoptera_Trigonidium	Gryllidae	variable	1	0	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
H_0105_Diptera_Sciaridae	Sciaridae	detritivorous	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0113_Diptera_Limoniidae	Limoniidae	variable	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
