species	total.indi
H_0001_Hymenoptera_Formicidae	18
H_0002_Orthoptera_Conocephalus.maculatus	20
H_0004_Orthoptera_Acrididae	22
H_0005_Diptera_Diptera	50
H_0006_Hymenoptera_Hymenoptera	1
H_0007_Diptera_Empididae	8
H_0010_Diptera_Diptera	4
H_0011_Diptera_Diptera	122
H_0012_Diptera_Diptera	7
H_0013_Diptera_Diptera	5
H_0014_Hemiptera_Nysius	14
H_0015_Diptera_Diptera	20
H_0016_Hemiptera_Adelphocoris	3
H_0017_Hemiptera_Bothrogonia	17
H_0018_Hemiptera_Cavariella	3
H_0019_Coleoptera_Plagiodera.versicolora	1
H_0020_Hymenoptera_Lasius	25
H_0021_Dermaptera_Anisolabididae	2
H_0022_Hymenoptera_Nylanderia	36
H_0023_Diptera_Diptera	28
H_0024_Diptera_Diptera	54
H_0026_Hemiptera_Pentatomidae	1
H_0028_Diptera_Exorista	2
H_0029_Hemiptera_Rhopalidae	8
H_0030_Diptera_Chironomidae	36
H_0031_Diptera_Diptera	39
H_0032_Diptera_Diptera	4
H_0033_Hemiptera_Coreidae	6
H_0034_Hymenoptera_Pteromalus.puparum	1
H_0035_Hemiptera_Aphididae	23
H_0036_Diptera_Chironomus	161
H_0037_Hymenoptera_Formicidae	10
H_0038_Coleoptera_Propylea	1
H_0039_Blattodea_Blattella.bisignata	4
H_0040_Lepidoptera_Lepidoptera	44
H_0041_Diptera_Culex	117
H_0042_Diptera_Chironomus	316
H_0043_Orthoptera_Conocephalus	58
H_0044_Diptera_Diptera	20
H_0046_Collembola_Homidia	185
H_0047_Diptera_Diptera	2
H_0048_Hemiptera_Tropidocephala	24
H_0049_Coleoptera_Hypera	6
H_0050_Diptera_Diptera	9
H_0051_Diptera_Diptera	1
H_0052_Diptera_Drosophila	11
H_0055_Diptera_Homoneura	5
H_0056_Hymenoptera_Dendrocerus.carpenteri	1
H_0058_Lepidoptera_Lepidoptera	2
H_0060_Orthoptera_Acrida	7
H_0061_Lepidoptera_Lepidoptera	2
H_0062_Diptera_Sarcophaga	1
H_0063_Diptera_Diptera	2
H_0064_Orthoptera_Tetrigidae	3
H_0065_Diptera_Chironomidae	28
H_0066_Diptera_Chironomus	44
H_0067_Coleoptera_Hydrophilidae	1
H_0068_Coleoptera_Chrysomelidae	3
H_0069_Hymenoptera_Formicidae	1
H_0070_Diptera_Diptera	15
H_0071_Hemiptera_Orius	5
H_0072_Diptera_Rivellia	4
H_0073_Diptera_Cecidomyiidae	2
H_0074_Diptera_Scaptomyza	15
H_0075_Hemiptera_Sitobion.avenae	82
H_0076_Coleoptera_Coccinella	5
H_0077_Diptera_Pipunculidae	1
H_0078_Diptera_Mayetiola	4
H_0079_Hemiptera_Nysius	9
H_0080_Diptera_Megaselia	1
H_0081_Hymenoptera_Formicidae	4
H_0082_Diptera_Chironomidae	1
H_0083_Lepidoptera_Cupido.argiades	2
H_0084_Diptera_Diptera	1
H_0085_Orthoptera_Orthoptera	1
H_0087_Diptera_Diptera	124
H_0088_Coleoptera_Popillia	1
H_0089_Diptera_Bradysia	20
H_0090_Diptera_Coboldia	34
H_0091_Hemiptera_Therioaphis.trifolii	22
H_0092_Diptera_Rhopalomyia	11
H_0093_Hymenoptera_Trichogramma	6
H_0094_Diptera_Phoridae	1
H_0095_Orthoptera_Gampsocleis	1
H_0097_Diptera_Diptera	1
H_0098_Hymenoptera_Hymenoptera	1
H_0099_Lepidoptera_Lycaena	3
H_0100_Hemiptera_Hemiptera	3
H_0101_Hymenoptera_Andrena	1
H_0102_Diptera_Homoneura	2
H_0103_Orthoptera_Trigonidium	17
H_0104_Hymenoptera_Hymenoptera	1
H_0105_Diptera_Sciaridae	83
H_0106_Hemiptera_Rhopalosiphum.padi	18
H_0108_Diptera_Sarcophagidae	2
H_0109_Diptera_Scaptomyza	9
H_0110_Diptera_Rivellia	1
H_0111_Diptera_Diptera	6
H_0112_Diptera_Diptera	5
H_0113_Diptera_Limoniidae	55
H_0114_Diptera_Diptera	2
H_0115_Orthoptera_Gryllidae	2
H_0116_Diptera_Atrichopogon	7
H_0117_Hemiptera_Aphididae	1
H_0118_Orthoptera_Tettigoniidae	21
H_0119_Coleoptera_Elateridae	1
H_0120_Hymenoptera_Lasius	2
H_0121_Hemiptera_Pentatomidae	1
H_0122_Blattodea_Reticulitermes	7
H_0123_Lepidoptera_Lepidoptera	5
H_0124_Coleoptera_Chrysomelidae	1
H_0125_Hemiptera_Cicadellidae	34
H_0128_Hemiptera_Cicadellidae	10
H_0129_Diptera_Cecidomyiidae	15
H_0130_Diptera_Diptera	18
H_0131_Collembola_Collembola	7
H_0132_Hemiptera_Cicadellidae	32
H_0133_Hemiptera_Chaitophorus	1
H_0135_Coleoptera_Chrysomelidae	4
H_0136_Lepidoptera_Lepidoptera	4
H_0137_Diptera_Austrosciara	42
H_0138_Hymenoptera_Ichneumonidae	1
H_0139_Hymenoptera_Formicidae	8
H_0140_Orthoptera_Polionemobius	12
H_0141_Diptera_Cecidomyiidae	4
H_0142_Diptera_Chironomus	1
H_0143_Diptera_Diptera	9
H_0144_Lepidoptera_Lepidoptera	1
H_0145_Diptera_Phoridae	1
H_0146_Lepidoptera_Lepidoptera	6
H_0147_Diptera_Cecidomyiidae	7
H_0148_Diptera_Diptera	3
H_0150_Diptera_Gymnopternus	8
H_0151_Lepidoptera_Lepidoptera	5
H_0152_Diptera_Diptera	1
H_0153_Diptera_Diptera	3
H_0154_Diptera_Cecidomyiidae	5
H_0155_Hemiptera_Hemiptera	21
H_0157_Hemiptera_Aphrophora	10
H_0158_Hemiptera_Cicadellidae	2
H_0159_Diptera_Sciaridae	1
H_0160_Orthoptera_Atractomorpha	10
H_0161_Hemiptera_Aphrophoridae	2
H_0164_Diptera_Cecidomyiidae	1
H_0165_Diptera_Bradysia	27
H_0166_Diptera_Diptera	1
H_0167_Diptera_Diptera	1
H_0168_Coleoptera_Chrysomelidae	1
H_0169_Hymenoptera_Ichneumonidae	1
H_0170_Diptera_Exorista	2
H_0171_Diptera_Diptera	2
H_0172_Hemiptera_Hemiptera	2
H_0173_Diptera_Drosophilidae	4
H_0174_Diptera_Diptera	8
H_0176_Lepidoptera_Lepidoptera	2
H_0177_Diptera_Diptera	5
H_0178_Diptera_Drosophila	4
H_0179_Hemiptera_Pseudoregma.panicola	4
H_0180_Hemiptera_Bemisia	18
H_0181_Diptera_Sciaridae	8
H_0182_Diptera_Diptera	7
H_0183_Hymenoptera_Formicidae	2
H_0184_Diptera_Melanostoma	11
H_0185_Diptera_Diptera	2
H_0186_Hemiptera_Aphis.spiraecola	13
H_0187_Diptera_Diptera	41
H_0188_Lepidoptera_Lepidoptera	2
H_0189_Diptera_Phoridae	3
H_0191_Coleoptera_Curculionidae	1
H_0192_Diptera_Melanagromyza	1
H_0193_Diptera_Pipunculidae	10
H_0194_Diptera_Sciaridae	3
H_0195_Diptera_Tipulidae	11
H_0196_Diptera_Cecidomyiidae	24
H_0197_Diptera_Sciara	13
H_0198_Hemiptera_Triozidae	2
H_0199_Hemiptera_Cicadellidae	42
H_0200_Coleoptera_Cantharidae	2
H_0201_Diptera_Trichocera	1
H_0202_Hemiptera_Empoasca	1
H_0203_Ephemeroptera_Cloeon	31
H_0204_Diptera_Cecidomyiidae	2
H_0205_Diptera_Diptera	20
H_0206_Collembola_Homidia	6
H_0207_Coleoptera_Curculionidae	4
H_0208_Lepidoptera_Sesamia	1
H_0209_Diptera_Drosophilidae	4
H_0210_Neuroptera_Chrysoperla	2
H_0211_Diptera_Diptera	1
H_0212_Diptera_Cecidomyiidae	5
H_0213_Diptera_Diptera	3
H_0214_Coleoptera_Rhinoncus	1
H_0215_Hemiptera_Cicadellidae	6
H_0216_Hymenoptera_Hymenoptera	1
H_0217_Hemiptera_Creontiades	3
H_0218_Coleoptera_Chaetocnema	1
H_0219_Lepidoptera_Eurema.hecabe	1
H_0220_Hymenoptera_Hymenoptera	1
H_0222_Coleoptera_Coleoptera	10
H_0223_Hemiptera_Cicadellidae	5
H_0224_Diptera_Cecidomyiidae	1
H_0225_Hymenoptera_Eulophidae	8
H_0226_Hemiptera_Aphididae	16
H_0227_Hemiptera_Cicadellidae	20
H_0228_Diptera_Diptera	1
H_0229_Orthoptera_Tettigoniidae	4
H_0230_Diptera_Diptera	2
H_0231_Diptera_Cecidomyiidae	16
H_0232_Coleoptera_Chrysomelidae	21
H_0234_Diptera_Diptera	1
H_0235_Diptera_Diptera	10
H_0236_Diptera_Diptera	8
H_0237_Hymenoptera_Pheidole	1
H_0238_Hemiptera_Hemiptera	1
H_0239_Diptera_Cecidomyiidae	1
H_0240_Lepidoptera_Lepidoptera	2
H_0241_Diptera_Diptera	3
H_0243_Coleoptera_Coleoptera	1
H_0244_Hymenoptera_Formicidae	4
H_0245_Diptera_Diptera	2
H_0246_Diptera_Diptera	1
H_0247_Diptera_Cecidomyiidae	4
H_0248_Diptera_Cecidomyiidae	2
H_0249_Lepidoptera_Erebidae	1
H_0250_Hymenoptera_Eurytomidae	1
H_0251_Lepidoptera_Inurois	1
