Oxyopes_sertatus	Tetragnatha_praedonia	Tetragnatha_caudicula	Ebrechtella_tricuspidata	Nephila_clavata	Neoscona_mellotteei	Clubiona_sp.	Diaea_subdola	Xysticus_sp.	Larinia_argiopiformis	Hypsosinga_pygmaea	Mendoza_elongata	Pardosa_sp.	Dolomedes_sp.	Thomisus_labefactus	Sitticus_sp.	Salticidae_sp.1
H_0001_Hymenoptera_Formicidae	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
H_0002_Orthoptera_Conocephalus.maculatus	1	0	2	1	0	0	0	0	1	0	0	1	0	0	0	0	0
H_0011_Diptera_Diptera	27	1	36	14	0	0	0	1	11	1	1	1	0	1	1	0	0
H_0014_Hemiptera_Nysius	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0015_Diptera_Diptera	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0
H_0021_Dermaptera_Anisolabididae	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0022_Hymenoptera_Nylanderia	6	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
H_0024_Diptera_Diptera	4	2	3	2	0	0	0	1	4	0	0	0	0	0	0	0	0
H_0028_Diptera_Exorista	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0031_Diptera_Diptera	9	0	3	4	0	0	0	0	7	0	0	0	0	0	0	0	0
H_0032_Diptera_Diptera	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0036_Diptera_Chironomus	9	0	7	5	0	0	0	0	7	0	0	1	1	0	1	0	1
H_0040_Lepidoptera_Lepidoptera	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0041_Diptera_Culex	61	2	22	5	0	1	1	0	13	0	0	0	0	0	1	0	0
H_0042_Diptera_Chironomus	43	6	47	13	1	2	2	1	16	1	1	2	1	0	1	0	0
H_0043_Orthoptera_Conocephalus	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0044_Diptera_Diptera	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0046_Collembola_Homidia	39	0	2	6	1	1	0	0	8	0	0	1	0	0	0	0	0
H_0050_Diptera_Diptera	0	0	1	1	0	0	0	0	3	0	0	0	0	0	0	0	1
H_0052_Diptera_Drosophila	2	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0
H_0065_Diptera_Chironomidae	3	0	3	3	0	0	0	0	6	0	0	0	0	0	1	0	0
H_0066_Diptera_Chironomus	4	2	1	3	1	0	1	0	0	0	0	0	0	0	0	0	0
H_0070_Diptera_Diptera	4	0	1	4	0	0	0	1	4	0	0	0	0	0	0	0	0
H_0073_Diptera_Cecidomyiidae	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0074_Diptera_Scaptomyza	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0075_Hemiptera_Sitobion.avenae	20	2	2	9	0	0	1	0	4	0	0	1	0	0	0	0	0
H_0076_Coleoptera_Coccinella	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0077_Diptera_Pipunculidae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0078_Diptera_Mayetiola	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0079_Hemiptera_Nysius	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
