Oxyopes_sertatus	Tetragnatha_caudicula	Argiope_amoena	Xysticus_sp.	Leucauge_blanda	Ebrechtella_tricuspidata	Tetragnatha_praedonia	Diaea_subdola	Pardosa_sp.	Oxytate_striatipes	Neriene_radiata
H_0001_Hymenoptera_Formicidae	0	0	0	1	0	0	0	0	0	0	0
H_0005_Diptera_Diptera	0	0	0	1	0	0	0	0	0	0	0
H_0011_Diptera_Diptera	2	0	0	3	1	0	1	0	0	0	0
H_0015_Diptera_Diptera	0	2	0	2	0	0	0	0	1	0	0
H_0017_Hemiptera_Bothrogonia	6	0	0	0	0	0	0	0	0	0	0
H_0022_Hymenoptera_Nylanderia	1	0	0	0	0	0	0	0	0	0	0
H_0024_Diptera_Diptera	16	2	0	7	2	4	1	0	2	0	0
H_0028_Diptera_Exorista	0	0	0	1	0	0	0	0	0	0	0
H_0031_Diptera_Diptera	2	0	1	2	0	1	0	0	0	1	0
H_0034_Hymenoptera_Pteromalus.puparum	1	0	0	0	0	0	0	0	0	0	0
H_0035_Hemiptera_Aphididae	3	0	0	2	0	0	0	0	0	1	0
H_0038_Coleoptera_Propylea	0	0	0	1	0	0	0	0	0	0	0
H_0041_Diptera_Culex	4	1	0	0	0	0	0	0	0	1	0
H_0042_Diptera_Chironomus	1	0	0	3	0	1	0	0	0	0	0
H_0044_Diptera_Diptera	0	0	0	0	1	0	0	0	0	0	0
H_0046_Collembola_Homidia	7	0	0	4	0	4	0	0	0	1	0
H_0069_Hymenoptera_Formicidae	1	0	0	0	0	0	0	0	0	0	0
H_0070_Diptera_Diptera	0	0	0	0	1	0	0	0	0	0	0
H_0071_Hemiptera_Orius	0	0	0	0	1	0	0	0	0	0	0
H_0074_Diptera_Scaptomyza	4	1	0	0	0	1	1	0	0	0	0
H_0075_Hemiptera_Sitobion.avenae	4	1	0	1	0	0	0	0	0	1	0
H_0076_Coleoptera_Coccinella	0	0	0	1	0	0	0	0	0	0	0
H_0087_Diptera_Diptera	0	0	0	3	1	1	0	0	0	0	0
H_0092_Diptera_Rhopalomyia	0	0	0	0	1	0	0	0	0	0	0
H_0093_Hymenoptera_Trichogramma	1	0	0	0	0	0	0	0	0	0	0
H_0097_Diptera_Diptera	0	0	0	0	0	1	0	0	0	0	0
H_0106_Hemiptera_Rhopalosiphum.padi	1	0	0	0	0	0	0	0	0	0	0
H_0109_Diptera_Scaptomyza	1	2	0	0	0	0	0	0	0	0	0
H_0113_Diptera_Limoniidae	3	16	0	4	0	1	1	0	0	0	0
H_0118_Orthoptera_Tettigoniidae	0	0	0	1	0	0	0	0	0	0	0
H_0128_Hemiptera_Cicadellidae	1	1	0	0	0	0	0	0	0	0	0
H_0130_Diptera_Diptera	0	0	0	0	1	0	0	0	0	0	0
H_0135_Coleoptera_Chrysomelidae	1	0	0	0	0	0	0	0	0	0	0
H_0140_Orthoptera_Polionemobius	0	0	0	1	0	0	0	0	0	0	0
H_0159_Diptera_Sciaridae	0	0	0	0	1	0	0	0	0	0	0
H_0165_Diptera_Bradysia	0	0	0	2	0	1	0	1	0	0	0
H_0179_Hemiptera_Pseudoregma.panicola	1	0	0	0	0	0	0	0	0	0	0
H_0180_Hemiptera_Bemisia	1	0	0	0	0	0	0	0	0	0	0
H_0187_Diptera_Diptera	15	5	1	8	2	4	0	1	1	1	0
H_0193_Diptera_Pipunculidae	0	1	0	0	0	0	0	0	0	0	0
H_0197_Diptera_Sciara	1	0	1	0	0	0	0	1	0	0	0
H_0199_Hemiptera_Cicadellidae	2	0	0	0	0	0	0	0	0	0	0
H_0201_Diptera_Trichocera	0	0	0	1	0	0	0	0	0	0	0
H_0205_Diptera_Diptera	1	0	0	0	0	0	0	0	0	0	0
