Argiope_bruennichi	Leucauge_blanda	Tetragnatha_caudicula	Xysticus_sp.	Oxyopes_sertatus	Neoscona_scylloides	Cyclosa_atrata	Nephila_clavata	Tetragnatha_praedonia	Clubiona_sp.	Ebrechtella_tricuspidata	Neoscona_mellotteei	Agelena_silvatica	Neriene_radiata	Parasteatoda_japonica	Thomisus_labefactus	Araneidae_sp.1	Mendoza_elongata	Linyphiidae_sp.5	Salticidae_sp.2	Araneus_abscissus
H_0002_Orthoptera_Conocephalus.maculatus	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0004_Orthoptera_Acrididae	9	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
H_0005_Diptera_Diptera	28	0	1	7	0	2	0	0	0	0	2	1	0	0	1	4	0	0	0	0	0
H_0011_Diptera_Diptera	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0013_Diptera_Diptera	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
H_0015_Diptera_Diptera	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0017_Hemiptera_Bothrogonia	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0018_Hemiptera_Cavariella	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0019_Coleoptera_Plagiodera.versicolora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
H_0020_Hymenoptera_Lasius	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0030_Diptera_Chironomidae	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0031_Diptera_Diptera	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0032_Diptera_Diptera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
H_0035_Hemiptera_Aphididae	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0036_Diptera_Chironomus	16	0	2	5	0	0	1	1	0	0	1	0	0	1	0	0	0	0	3	0	0
H_0040_Lepidoptera_Lepidoptera	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0042_Diptera_Chironomus	43	0	3	4	1	0	2	0	1	0	2	1	0	2	0	1	1	1	4	1	0
H_0043_Orthoptera_Conocephalus	8	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0046_Collembola_Homidia	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0050_Diptera_Diptera	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0052_Diptera_Drosophila	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0056_Hymenoptera_Dendrocerus.carpenteri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
H_0060_Orthoptera_Acrida	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0065_Diptera_Chironomidae	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1
H_0066_Diptera_Chironomus	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
H_0068_Coleoptera_Chrysomelidae	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0071_Hemiptera_Orius	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0072_Diptera_Rivellia	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0075_Hemiptera_Sitobion.avenae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0083_Lepidoptera_Cupido.argiades	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
H_0089_Diptera_Bradysia	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
