Oxyopes_sertatus	Pachygnatha_tenera	Cyclosa_sedeculata	Ebrechtella_tricuspidata	Clubiona_sp.	Salticidae_sp.2	Larinia_argiopiformis	Cheiracanthium_japonicum	Mendoza_elongata	Argiope_bruennichi	Nephila_clavata	Leucauge_blanda	Diaea_subdola	Salticidae_sp.6	Salticidae_sp.5	Thomisus_labefactus	Xysticus_sp.	Araneus_abscissus	Argiope_amoena	Neoscona_mellotteei	Myrmarachne_sp.	Neoscona_scylloides
H_0001_Hymenoptera_Formicidae	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	3	0	0	0	0
H_0004_Orthoptera_Acrididae	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0
H_0012_Diptera_Diptera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0
H_0014_Hemiptera_Nysius	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0015_Diptera_Diptera	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
H_0017_Hemiptera_Bothrogonia	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0
H_0022_Hymenoptera_Nylanderia	3	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0
H_0029_Hemiptera_Rhopalidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
H_0030_Diptera_Chironomidae	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
H_0036_Diptera_Chironomus	3	0	1	3	0	1	1	1	0	0	1	0	0	1	0	1	6	2	0	0	0	0
H_0037_Hymenoptera_Formicidae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
H_0039_Blattodea_Blattella.bisignata	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
H_0040_Lepidoptera_Lepidoptera	1	0	0	5	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0
H_0042_Diptera_Chironomus	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	2	1	1	0	0	0
H_0043_Orthoptera_Conocephalus	1	0	1	5	0	0	0	0	0	0	0	0	1	0	0	0	3	1	0	0	0	0
H_0046_Collembola_Homidia	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0048_Hemiptera_Tropidocephala	0	0	0	1	1	1	0	1	0	0	0	1	0	0	2	0	2	0	0	0	0	0
H_0060_Orthoptera_Acrida	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
H_0061_Lepidoptera_Lepidoptera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
H_0064_Orthoptera_Tetrigidae	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
H_0071_Hemiptera_Orius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
H_0075_Hemiptera_Sitobion.avenae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0081_Hymenoptera_Formicidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
H_0085_Orthoptera_Orthoptera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
