Oxyopes_sertatus	Linyphiidae_sp.5	Ebrechtella_tricuspidata	Xysticus_sp.	Thomisus_labefactus	Tetragnatha_caudicula	Mendoza_elongata	Nephila_clavata	Cheiracanthium_japonicum	Araneus_abscissus	Neoscona_adianta	Neriene_radiata	Clubiona_sp.	Oxytate_striatipes	Larinia_argiopiformis	Lycosidae_sp.1	Argyrodes_bonadea	Salticidae_sp.2	Argiope_amoena	Pardosa_sp.	Tetragnatha_praedonia	Allagelena_opulenta	Salticidae_sp.6	Hypsosinga_pygmaea
H_0001_Hymenoptera_Formicidae	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
H_0011_Diptera_Diptera	4	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0015_Diptera_Diptera	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
H_0021_Dermaptera_Anisolabididae	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0022_Hymenoptera_Nylanderia	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
H_0023_Diptera_Diptera	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0031_Diptera_Diptera	0	0	4	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
H_0035_Hemiptera_Aphididae	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0036_Diptera_Chironomus	22	0	11	10	1	1	4	3	1	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0
H_0039_Blattodea_Blattella.bisignata	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0040_Lepidoptera_Lepidoptera	10	0	9	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
H_0041_Diptera_Culex	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0042_Diptera_Chironomus	42	1	13	8	1	15	4	2	1	0	0	0	1	0	2	0	0	0	0	2	2	1	1	0
H_0043_Orthoptera_Conocephalus	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0044_Diptera_Diptera	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
H_0046_Collembola_Homidia	33	0	9	8	0	7	2	0	0	0	0	0	1	1	1	0	0	0	0	2	2	0	0	0
H_0048_Hemiptera_Tropidocephala	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
H_0052_Diptera_Drosophila	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
H_0063_Diptera_Diptera	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0065_Diptera_Chironomidae	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0066_Diptera_Chironomus	15	0	5	2	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
H_0075_Hemiptera_Sitobion.avenae	12	0	6	1	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
H_0079_Hemiptera_Nysius	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0083_Lepidoptera_Cupido.argiades	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0087_Diptera_Diptera	1	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
H_0090_Diptera_Coboldia	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0092_Diptera_Rhopalomyia	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0093_Hymenoptera_Trichogramma	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0103_Orthoptera_Trigonidium	1	0	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
H_0105_Diptera_Sciaridae	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0113_Diptera_Limoniidae	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0118_Orthoptera_Tettigoniidae	1	0	3	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
H_0125_Hemiptera_Cicadellidae	3	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0129_Diptera_Cecidomyiidae	1	0	1	5	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0
H_0130_Diptera_Diptera	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0131_Collembola_Collembola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
H_0132_Hemiptera_Cicadellidae	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0137_Diptera_Austrosciara	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0139_Hymenoptera_Formicidae	4	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_0140_Orthoptera_Polionemobius	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0141_Diptera_Cecidomyiidae	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0143_Diptera_Diptera	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0146_Lepidoptera_Lepidoptera	1	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0147_Diptera_Cecidomyiidae	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0150_Diptera_Gymnopternus	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
H_0155_Hemiptera_Hemiptera	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0157_Hemiptera_Aphrophora	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0160_Orthoptera_Atractomorpha	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0174_Diptera_Diptera	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
H_0178_Diptera_Drosophila	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
H_0180_Hemiptera_Bemisia	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0181_Diptera_Sciaridae	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
H_0186_Hemiptera_Aphis.spiraecola	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0193_Diptera_Pipunculidae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0195_Diptera_Tipulidae	5	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
H_0196_Diptera_Cecidomyiidae	3	0	3	6	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
H_0199_Hemiptera_Cicadellidae	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
H_0203_Ephemeroptera_Cloeon	5	0	5	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
H_0205_Diptera_Diptera	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
H_0206_Collembola_Homidia	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0207_Coleoptera_Curculionidae	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0208_Lepidoptera_Sesamia	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0214_Coleoptera_Rhinoncus	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0218_Coleoptera_Chaetocnema	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0219_Lepidoptera_Eurema.hecabe	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0224_Diptera_Cecidomyiidae	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_0227_Hemiptera_Cicadellidae	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
