	Oxyopes_sertatus	Tetragnatha_praedonia	Tetragnatha_caudicula	Ebrechtella_tricuspidata	Nephila_clavata	Neoscona_mellotteei	Clubiona_sp.	Diaea_subdola	Xysticus_sp.	Larinia_argiopiformis	Hypsosinga_pygmaea	Mendoza_elongata	Pardosa_sp.	Dolomedes_sp.	Thomisus_labefactus	Sitticus_sp.	Salticidae_sp.1
Aphididae	146	7	10	32	0	0	2	1	37	0	0	2	1	1	4	1	1
Cicadellidae	21	2	0	2	0	0	0	0	3	0	0	1	0	1	0	0	0
Hormaphididae	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Aleyrodidae	1	1	0	1	0	0	0	0	4	0	0	1	0	0	0	0	0
Tipulidae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Curculionidae	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Chrysomelidae	9	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
Delphacidae	1	0	3	1	0	0	0	0	1	0	0	0	0	0	0	0	0
Tenthredinidae	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Halictidae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Endomychidae	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Geometridae	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crambidae	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Noctuidae	7	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
Anoeciidae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tingidae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lycaenidae	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
