	Neoscona_scylloides	Neoscona_mellotteei	Tetragnatha_caudicula	Oxyopes_sertatus	Ebrechtella_tricuspidata	Leucauge_blanda	Argiope_bruennichi	Pachygnatha_tenera	Tetragnatha_praedonia	Tetragnatha_squamata	Xysticus_sp.	Neoscona_adianta	Cyclosa_sedeculata	Thomisus_labefactus	Araneidae_sp.1	Diaea_subdola	Clubiona_sp.	Salticidae_sp.1	Araneus_abscissus	Neriene_radiata	Leucauge_celebesiana	Cheiracanthium_japonicum	Hypsosinga_pygmaea	Mendoza_elongata	Agelena_silvatica	Linyphiidae_sp.4	Mimetus_sp.	Cyclosa_atrata	Philodromus_sp.	Ariamnes_cylindrogaster	Theridiidae_sp.
Acrididae	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aphididae	17	3	3	8	22	6	4	0	1	0	2	4	6	7	2	0	1	2	1	1	0	1	2	1	0	1	1	0	1	0	1
Delphacidae	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Curculionidae	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lycaenidae	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cicadellidae	1	0	1	1	1	0	0	0	0	0	0	0	2	1	0	0	0	3	0	0	0	0	0	1	1	0	0	0	0	0	0
Aleyrodidae	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eurytomidae	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anoeciidae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cymidae	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Psyllidae	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phlaeothripidae	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
