	Argiope_bruennichi	Leucauge_blanda	Tetragnatha_caudicula	Xysticus_sp.	Oxyopes_sertatus	Neoscona_scylloides	Cyclosa_atrata	Nephila_clavata	Tetragnatha_praedonia	Clubiona_sp.	Ebrechtella_tricuspidata	Neoscona_mellotteei	Agelena_silvatica	Neriene_radiata	Parasteatoda_japonica	Thomisus_labefactus	Araneidae_sp.1	Mendoza_elongata	Linyphiidae_sp.5	Salticidae_sp.2	Araneus_abscissus
Acrididae	15	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
Cicadellidae	12	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aphididae	27	0	0	5	0	1	0	0	0	0	2	0	0	2	0	0	0	0	1	0	0
Chrysomelidae	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Lycaenidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Aphrophoridae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pyrgomorphidae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tipulidae	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Curculionidae	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Tephritidae	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Alydidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Delphacidae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Endomychidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Rhopalidae	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thripidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Cymidae	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pyralidae	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Anoeciidae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tingidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
