	Oxyopes_sertatus	Pachygnatha_tenera	Cyclosa_sedeculata	Ebrechtella_tricuspidata	Clubiona_sp.	Salticidae_sp.2	Larinia_argiopiformis	Cheiracanthium_japonicum	Mendoza_elongata	Argiope_bruennichi	Nephila_clavata	Leucauge_blanda	Diaea_subdola	Salticidae_sp.6	Salticidae_sp.5	Thomisus_labefactus	Xysticus_sp.	Araneus_abscissus	Argiope_amoena	Neoscona_mellotteei	Myrmarachne_sp.	Neoscona_scylloides
Acrididae	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	1	0	0	0
Cicadellidae	6	0	3	2	0	1	1	0	3	5	2	4	0	0	1	1	12	1	2	1	0	0
Rhopalidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Delphacidae	1	0	0	2	1	1	0	1	2	0	0	1	1	0	2	0	2	1	0	0	0	0
Tetrigidae	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Aphididae	3	0	1	2	0	0	0	0	0	0	1	7	0	2	0	0	0	0	0	0	0	0
Lycaenidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Chrysomelidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Aphrophoridae	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0
Aleyrodidae	3	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
Erebidae	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Flatidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Geometridae	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crambidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Tropiduchidae	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Hesperiidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Noctuidae	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
Pyralidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Coreidae	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
