V1	V2
Allagelena_opulenta	3
Gibbaranea_abscissus	1
Argiope_amoena	2
Argyrodes_bonadea	1
Cheiracanthium_japonicum	4
Clubiona_sp.	6
Cyclosa_atrata	1
Dolomedes_sp.	1
Ebrechtella_tricuspidata	16
Hypsosinga_pygmaea	1
Larinia_argiopiformis	3
Leucauge_blanda	1
Linyphiidae_sp.5	1
Lycosidae_sp.1	1
Mendoza_elongata	10
Neoscona_adianta	2
Trichonephila_clavata	14
Neriene_radiata	2
Oxyopes_sertatus	79
Oxytate_striatipes	1
Pardosa_sp.	2
Salticidae_sp.2	3
Salticidae_sp.6	2
Tetragnatha_caudicula	33
Tetragnatha_praedonia	5
Thomisus_labefactus	1
Xysticus_sp.	16
