species	total.indi
Oxyopes_sertatus	387
Argiope_bruennichi	186
Tetragnatha_caudicula	157
Leucauge_blanda	133
Ebrechtella_tricuspidata	129
Xysticus_sp.	94
Neoscona_scylloides	72
Larinia_argiopiformis	55
Cyclosa_sedeculata	42
Tetragnatha_praedonia	27
Thomisus_labefactus	27
Mendoza_elongata	26
Nephila_clavata	25
Neoscona_mellotteei	24
Araneidae_sp.1	15
Neriene_radiata	15
Araneus_abscissus	13
Clubiona_sp.	13
Cheiracanthium_japonicum	10
Salticidae_sp.6	9
Diaea_subdola	8
Salticidae_sp.2	8
Pardosa_sp.	6
Argiope_amoena	6
Linyphiidae_sp.5	6
Neoscona_adianta	6
Myrmarachne_sp.	5
Salticidae_sp.1	5
Hypsosinga_pygmaea	5
Sitticus_sp.	4
Salticidae_sp.5	4
Pachygnatha_tenera	4
Tetragnatha_squamata	3
Philodromus_sp.	3
Cyclosa_atrata	3
Agelena_silvatica	3
Oxytate_striatipes	3
Mimetus_sp.	2
Dolomedes_sp.	2
Leucauge_celebesiana	1
Ariamnes_cylindrogaster	1
Oxyopes_badius	1
Allagelena_opulenta	1
Lycosidae_sp.1	1
Linyphiidae_sp.4	1
Cyrtarachne_nagasakiensis	1
Argyrodes_bonadea	1
Parasteatoda_japonica	1
Salticidae_sp.3	1
Theridiidae_sp.	1
