Seq.No.	species	date	month	male	age	bodysize	No.	order	Family	genus	species.y	ecology	H_0002_Orthoptera_Conocephalus.maculatus	H_0004_Orthoptera_Acrididae	H_0005_Diptera_Diptera	H_0012_Diptera_Diptera	H_0016_Hemiptera_Adelphocoris	H_0018_Hemiptera_Cavariella	H_0022_Hymenoptera_Nylanderia	H_0023_Diptera_Diptera	H_0030_Diptera_Chironomidae	H_0032_Diptera_Diptera	H_0035_Hemiptera_Aphididae	H_0036_Diptera_Chironomus	H_0037_Hymenoptera_Formicidae	H_0043_Orthoptera_Conocephalus	H_0046_Collembola_Homidia	H_0047_Diptera_Diptera	H_0048_Hemiptera_Tropidocephala	H_0049_Coleoptera_Hypera	H_0055_Diptera_Homoneura	H_0071_Hemiptera_Orius	H_0074_Diptera_Scaptomyza	H_0075_Hemiptera_Sitobion.avenae	H_0080_Diptera_Megaselia	H_0082_Diptera_Chironomidae	H_0084_Diptera_Diptera	H_0090_Diptera_Coboldia	H_0091_Hemiptera_Therioaphis.trifolii	H_0095_Orthoptera_Gampsocleis	H_0099_Lepidoptera_Lycaena	H_0105_Diptera_Sciaridae	H_0106_Hemiptera_Rhopalosiphum.padi	H_0108_Diptera_Sarcophagidae	H_0111_Diptera_Diptera	H_0113_Diptera_Limoniidae	H_0114_Diptera_Diptera	H_0116_Diptera_Atrichopogon	H_0122_Blattodea_Reticulitermes	H_0125_Hemiptera_Cicadellidae	H_0128_Hemiptera_Cicadellidae	H_0129_Diptera_Cecidomyiidae	H_0130_Diptera_Diptera	H_0131_Collembola_Collembola	H_0132_Hemiptera_Cicadellidae	H_0137_Diptera_Austrosciara	H_0143_Diptera_Diptera	H_0147_Diptera_Cecidomyiidae	H_0148_Diptera_Diptera	H_0151_Lepidoptera_Lepidoptera	H_0155_Hemiptera_Hemiptera	H_0158_Hemiptera_Cicadellidae	H_0165_Diptera_Bradysia	H_0170_Diptera_Exorista	H_0172_Hemiptera_Hemiptera	H_0180_Hemiptera_Bemisia	H_0181_Diptera_Sciaridae	H_0182_Diptera_Diptera	H_0184_Diptera_Melanostoma	H_0186_Hemiptera_Aphis.spiraecola	H_0189_Diptera_Phoridae	H_0196_Diptera_Cecidomyiidae	H_0200_Coleoptera_Cantharidae	H_0202_Hemiptera_Empoasca	H_0207_Coleoptera_Curculionidae	H_0222_Coleoptera_Coleoptera	H_0226_Hemiptera_Aphididae	H_0227_Hemiptera_Cicadellidae	H_0231_Diptera_Cecidomyiidae	H_0235_Diptera_Diptera	H_0241_Diptera_Diptera	H_0247_Diptera_Cecidomyiidae	H_0250_Hymenoptera_Eurytomidae	H_0255_Hymenoptera_Formica	H_0257_Diptera_Diptera	H_0268_Hemiptera_Aphis	H_0269_Hemiptera_Bemisia	H_0274_Diptera_Diptera	H_0275_Diptera_Cecidomyiidae	H_0278_Diptera_Sciara	H_0279_Hymenoptera_Aphidius	H_0283_Diptera_Diptera	H_0288_Diptera_Cecidomyiidae	H_0291_Diptera_Cecidomyiidae	H_0292_Diptera_Ephydridae	H_0307_Diptera_Cecidomyiidae	H_0313_Diptera_Diptera	H_0320_Hymenoptera_Ichneumonidae	H_0335_Diptera_Sciaridae	H_0357_Hemiptera_Hemiptera	H_0369_Psocoptera_Peripsocus	H_0374_Lepidoptera_Lepidoptera	H_0376_Diptera_Diptera	H_0379_Hemiptera_Aphididae	H_0381_Diptera_Diptera	H_0384_Diptera_Diptera	H_0391_Lepidoptera_Lepidoptera	H_0392_Hemiptera_Cicadellidae	H_0398_Hemiptera_Aphididae	H_0399_Coleoptera_Coleoptera	H_0406_Diptera_Diptera	H_0409_Hemiptera_Melanaphis	H_0410_Diptera_Cecidomyiidae	H_0413_Hymenoptera_Formica	H_0425_Diptera_Cecidomyiidae	H_0430_Diptera_Diptera	H_0431_Hemiptera_Aphididae	H_0441_Hemiptera_Hemiptera	H_0443_Diptera_Pseudolycoriella	H_0449_Diptera_Cecidomyiidae	H_0457_Hemiptera_Empoascanara	H_0459_Hymenoptera_Eulophidae	H_0462_Hymenoptera_Formicidae	H_0464_Diptera_Cecidomyiidae	H_0476_Diptera_Diptera	H_0499_Hymenoptera_Formicidae	H_0512_Diptera_Sciaridae	H_0520_Diptera_Cystiphora	H_0541_Diptera_Cecidomyiidae	H_0547_Diptera_Diptera	H_0550_Diptera_Cricotopus	H_0558_Diptera_Dolichopus.bigeniculatus	H_0564_Hemiptera_Stenotus	H_0569_Diptera_Cecidomyiidae	H_0581_Diptera_Cecidomyiidae	H_0584_Hemiptera_Anoecia	H_0587_Diptera_Diptera	H_0609_Coleoptera_Coleoptera	H_0614_Hemiptera_Cymus	H_0618_Diptera_Diptera	H_0622_Diptera_Diptera	H_0630_Hymenoptera_Hymenoptera	H_0648_Lepidoptera_Lepidoptera	H_0651_Hymenoptera_Formica	H_0655_Diptera_Cecidomyiidae	H_0656_Coleoptera_Coleoptera	H_0657_Diptera_Megaselia	H_0664_Diptera_Cecidomyiidae	H_0669_Hemiptera_Cicadellidae	H_0671_Diptera_Cecidomyiidae	H_0694_Diptera_Cecidomyiidae	H_0704_Hemiptera_Cacopsylla	H_0705_Diptera_Cecidomyiidae	H_0716_Coleoptera_Coleoptera	H_0717_Hemiptera_Hemiptera	H_0726_Diptera_Diptera	H_0757_Coleoptera_Monotoma	H_0763_Hymenoptera_Formica.cunicularia	H_0778_Hemiptera_Miridae	H_0796_Diptera_Cecidomyiidae	H_0797_Diptera_Cecidomyiidae	H_0812_Thysanoptera_Phlaeothripidae	H_0822_Diptera_Cecidomyiidae	H_0823_Hymenoptera_Formicidae	H_0833_Diptera_Homoneura	H_0841_Hemiptera_Bemisia	H_0849_Diptera_Diptera	H_0850_Hemiptera_Aphididae	H_0861_Diptera_Cecidomyiidae	H_0862_Hymenoptera_Ceraphronidae	H_0880_Hymenoptera_Eulophidae	H_0904_Hymenoptera_Braconidae	H_0942_Diptera_Sciaridae	H_0943_Diptera_Sphaeroceridae	H_0962_Diptera_Diptera	H_0992_Diptera_Cecidomyiidae	H_0993_Hemiptera_Hemiptera	H_1034_Hymenoptera_Pteromalidae	H_1035_Coleoptera_Coleoptera	H_1036_Hymenoptera_Ichneumonidae	H_1061_Diptera_Cecidomyiidae	H_1085_Coleoptera_Cortinicara	H_1088_Diptera_Diptera	H_1109_Diptera_Cecidomyiidae	H_1130_Diptera_Cecidomyiidae	H_1194_Orthoptera_Conocephalus.maculatus	H_1196_Hemiptera_Acyrthosiphon.pisum	H_1198_Hemiptera_Aphis	H_1205_Hemiptera_Aphididae	H_1219_Diptera_Forcipomyia	H_1220_Hemiptera_Cicadellidae	H_1222_Hemiptera_Aphididae	H_1223_Hymenoptera_Nylanderia
S45_S_305	サツマノミダマシ	2018.05.11-001	5	-	-	-	24	Araneae	Araneidae	Neoscona	Neoscona_scylloides	web-weabing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S45_S_306	ワキグロサツマノミダマシ	2018.05.11-002	5	-	-	-	26	Araneae	Araneidae	Neoscona	Neoscona_mellotteei	web-weabing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S45_S_308	トガリアシナガグモ	2018.05.11-004	5	-	-	-	6	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha_caudicula	web-weabing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S45_S_311	サツマノミダマシ	2018.05.11-007	5	-	-	-	24	Araneae	Araneidae	Neoscona	Neoscona_scylloides	web-weabing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S45_S_314	トガリアシナガグモ	2018.05.11-010	5	-	-	-	6	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha_caudicula	web-weabing	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S45_S_318	ササグモ	2018.05.11-014	5	-	-	-	37	Araneae	Oxyopidae	Oxyope	Oxyopes_sertatus	free-living	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S45_S_320	ハナグモ	2018.05.11-016	5	-	-	-	13	Araneae	Thomisidae	Ebrechtella	Ebrechtella_tricuspidata	free-living	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
S45_S_321	チュウガタシロカネグモ	2018.05.11-017	5	-	-	-	7	Araneae	Tetragnathidae	Leucauge	Leucauge_blanda	web-weabing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S45_S_323	ナガコガネグモ	2018.05.11-019	5	-	-	-	19	Araneae	Araneidae	Argiope	Argiope_bruennichi	web-weabing	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S45_S_325	ヒメアシナガグモ	2018.05.11-021	5	-	-	-	2	Araneae	Tetragnathidae	Pachygnatha	Pachygnatha_tenera	free-living	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S45_S_329	サツマノミダマシ	2018.05.11-025	5	-	-	-	24	Araneae	Araneidae	Neoscona	Neoscona_scylloides	web-weabing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
