Seq.No.	species	date	month	male	age	bodysize	No.	order	Family	genus	species.y	ecology	H_0002_Orthoptera_Conocephalus.maculatus	H_0004_Orthoptera_Acrididae	H_0005_Diptera_Diptera	H_0011_Diptera_Diptera	H_0013_Diptera_Diptera	H_0015_Diptera_Diptera	H_0017_Hemiptera_Bothrogonia	H_0018_Hemiptera_Cavariella	H_0019_Coleoptera_Plagiodera.versicolora	H_0020_Hymenoptera_Lasius	H_0030_Diptera_Chironomidae	H_0031_Diptera_Diptera	H_0032_Diptera_Diptera	H_0035_Hemiptera_Aphididae	H_0036_Diptera_Chironomus	H_0040_Lepidoptera_Lepidoptera	H_0042_Diptera_Chironomus	H_0043_Orthoptera_Conocephalus	H_0046_Collembola_Homidia	H_0050_Diptera_Diptera	H_0052_Diptera_Drosophila	H_0056_Hymenoptera_Dendrocerus.carpenteri	H_0060_Orthoptera_Acrida	H_0065_Diptera_Chironomidae	H_0066_Diptera_Chironomus	H_0068_Coleoptera_Chrysomelidae	H_0071_Hemiptera_Orius	H_0072_Diptera_Rivellia	H_0075_Hemiptera_Sitobion.avenae	H_0083_Lepidoptera_Cupido.argiades	H_0089_Diptera_Bradysia	H_0090_Diptera_Coboldia	H_0091_Hemiptera_Therioaphis.trifolii	H_0102_Diptera_Homoneura	H_0105_Diptera_Sciaridae	H_0106_Hemiptera_Rhopalosiphum.padi	H_0108_Diptera_Sarcophagidae	H_0118_Orthoptera_Tettigoniidae	H_0125_Hemiptera_Cicadellidae	H_0132_Hemiptera_Cicadellidae	H_0138_Hymenoptera_Ichneumonidae	H_0140_Orthoptera_Polionemobius	H_0141_Diptera_Cecidomyiidae	H_0150_Diptera_Gymnopternus	H_0155_Hemiptera_Hemiptera	H_0157_Hemiptera_Aphrophora	H_0160_Orthoptera_Atractomorpha	H_0177_Diptera_Diptera	H_0182_Diptera_Diptera	H_0184_Diptera_Melanostoma	H_0186_Hemiptera_Aphis.spiraecola	H_0195_Diptera_Tipulidae	H_0199_Hemiptera_Cicadellidae	H_0217_Hemiptera_Creontiades	H_0226_Hemiptera_Aphididae	H_0227_Hemiptera_Cicadellidae	H_0229_Orthoptera_Tettigoniidae	H_0234_Diptera_Diptera	H_0235_Diptera_Diptera	H_0253_Diptera_Syrphidae	H_0255_Hymenoptera_Formica	H_0257_Diptera_Diptera	H_0262_Hemiptera_Hemiptera	H_0266_Diptera_Cecidomyiidae	H_0267_Coleoptera_Curculionidae	H_0268_Hemiptera_Aphis	H_0270_Diptera_Chrysotus	H_0277_Diptera_Bradysia	H_0291_Diptera_Cecidomyiidae	H_0293_Diptera_Ensina.sonchi	H_0295_Diptera_Diptera	H_0298_Diptera_Megaselia	H_0305_Hemiptera_Riptortus.pedestris	H_0307_Diptera_Cecidomyiidae	H_0316_Hemiptera_Delphacidae	H_0317_Hemiptera_Cicadellidae	H_0321_Diptera_Bradysia	H_0332_Lepidoptera_Lepidoptera	H_0353_Diptera_Cecidomyiidae	H_0355_Diptera_Diptera	H_0357_Hemiptera_Hemiptera	H_0375_Diptera_Phoridae	H_0379_Hemiptera_Aphididae	H_0388_Hymenoptera_Formicidae	H_0389_Diptera_Mayetiola.destructor	H_0392_Hemiptera_Cicadellidae	H_0396_Coleoptera_Staphylinidae	H_0413_Hymenoptera_Formica	H_0417_Coleoptera_Endomychidae	H_0425_Diptera_Cecidomyiidae	H_0431_Hemiptera_Aphididae	H_0433_Hemiptera_Cicadellidae	H_0443_Diptera_Pseudolycoriella	H_0450_Diptera_Cecidomyiidae	H_0455_Hemiptera_Rhopalidae	H_0457_Hemiptera_Empoascanara	H_0458_Diptera_Diptera	H_0461_Diptera_Diptera	H_0464_Diptera_Cecidomyiidae	H_0466_Hemiptera_Aphididae	H_0472_Diptera_Diptera	H_0481_Diptera_Drosophilidae	H_0483_Coleoptera_Tychius	H_0493_Diptera_Cecidomyiidae	H_0494_Ephemeroptera_Baetis	H_0509_Diptera_Diptera	H_0510_Diptera_Chrysotus	H_0530_Diptera_Diptera	H_0532_Diptera_Sciaridae	H_0544_Thysanoptera_Thripidae	H_0555_Hemiptera_Hemiptera	H_0566_Diptera_Megaselia	H_0567_Diptera_Platypalpus	H_0568_Hymenoptera_Braconidae	H_0570_Diptera_Paratanytarsus	H_0573_Diptera_Drosophilidae	H_0593_Hemiptera_Apolygus	H_0599_Diptera_Chironomus	H_0603_Diptera_Chironomidae	H_0607_Diptera_Diptera	H_0612_Hymenoptera_Formica	H_0614_Hemiptera_Cymus	H_0646_Diptera_Diptera	H_0657_Diptera_Megaselia	H_0663_Lepidoptera_Pyralidae	H_0666_Diptera_Cecidomyiidae	H_0667_Diptera_Sciaridae	H_0677_Diptera_Diptera	H_0679_Diptera_Chaetosciara	H_0697_Hemiptera_Anoecia	H_0707_Diptera_Diptera	H_0711_Coleoptera_Carabidae	H_0712_Diptera_Lestodiplosis	H_0721_Hemiptera_Aphididae	H_0723_Orthoptera_Gryllidae	H_0724_Hemiptera_Cicadellidae	H_0731_Diptera_Mycetophilidae	H_0774_Orthoptera_Oxya	H_0775_Hymenoptera_Hymenoptera	H_0783_Hemiptera_Tuberculatus	H_0794_Diptera_Cecidomyiidae	H_0799_Hemiptera_Aphididae	H_0874_Hemiptera_Hemiptera	H_0875_Diptera_Diptera	H_0894_Orthoptera_Acrida	H_0895_Lepidoptera_Lepidoptera	H_0896_Hymenoptera_Formicidae	H_0935_Orthoptera_Acrididae	H_0936_Hemiptera_Corythucha.marmorata	H_0956_Diptera_Diptera	H_0958_Collembola_Hypogastruridae	H_0960_Hemiptera_Aphididae	H_0986_Diptera_Chironomidae	H_1015_Diptera_Diptera	H_1016_Hemiptera_Kolla	H_1026_Diptera_Sciaridae	H_1028_Hemiptera_Hemiptera	H_1054_Diptera_Phoridae	H_1081_Coleoptera_Chrysomelidae	H_1102_Lepidoptera_Lycaenidae	H_1151_Hemiptera_Hemiptera	H_1178_Diptera_Diptera	H_1194_Orthoptera_Conocephalus.maculatus	H_1196_Hemiptera_Acyrthosiphon.pisum
S44_S_001	ナガコガネグモ	2018.06.12-001	6	-	-	5.25	19	Araneae	Araneidae	Argiope	Argiope_bruennichi	web-weabing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S44_S_002	ナガコガネグモ	2018.06.12-002	6	-	-	6.55	19	Araneae	Araneidae	Argiope	Argiope_bruennichi	web-weabing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S44_S_004	ナガコガネグモ	2018.06.12-004	6	-	-	4.76	19	Araneae	Araneidae	Argiope	Argiope_bruennichi	web-weabing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S44_S_005	チュウガタシロカネグモ	2018.06.12-005	6	-	-	8.49	7	Araneae	Tetragnathidae	Leucauge	Leucauge_blanda	web-weabing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S44_S_006	ナガコガネグモ	2018.06.12-006	6	-	-	5.61	19	Araneae	Araneidae	Argiope	Argiope_bruennichi	web-weabing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S44_S_010	ナガコガネグモ	2018.06.12-010	6	-	-	3.72	19	Araneae	Araneidae	Argiope	Argiope_bruennichi	web-weabing	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S44_S_011	トガリアシナガグモ	2018.06.12-011	6	-	-	5.09	6	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha_caudicula	web-weabing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S44_S_012	カニグモ属	2018.06.12-012	6	-	-	2.39	11	Araneae	Thomisidae	Xysticus	Xysticus_sp.	free-living	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S44_S_013	ササグモ	2018.06.12-013	6	-	-	8.68	37	Araneae	Oxyopidae	Oxyope	Oxyopes_sertatus	free-living	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S44_S_014	サツマノミダマシ	2018.06.12-014	6	-	-	3.05	24	Araneae	Araneidae	Neoscona	Neoscona_scylloides	web-weabing	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
