Seq.No.	species	date	month	male	age	bodysize	No.	order	Family	genus	species.y	ecology	H_0001_Hymenoptera_Formicidae	H_0004_Orthoptera_Acrididae	H_0012_Diptera_Diptera	H_0014_Hemiptera_Nysius	H_0015_Diptera_Diptera	H_0017_Hemiptera_Bothrogonia	H_0022_Hymenoptera_Nylanderia	H_0029_Hemiptera_Rhopalidae	H_0030_Diptera_Chironomidae	H_0036_Diptera_Chironomus	H_0037_Hymenoptera_Formicidae	H_0039_Blattodea_Blattella.bisignata	H_0040_Lepidoptera_Lepidoptera	H_0042_Diptera_Chironomus	H_0043_Orthoptera_Conocephalus	H_0046_Collembola_Homidia	H_0048_Hemiptera_Tropidocephala	H_0060_Orthoptera_Acrida	H_0061_Lepidoptera_Lepidoptera	H_0064_Orthoptera_Tetrigidae	H_0071_Hemiptera_Orius	H_0075_Hemiptera_Sitobion.avenae	H_0081_Hymenoptera_Formicidae	H_0085_Orthoptera_Orthoptera	H_0090_Diptera_Coboldia	H_0092_Diptera_Rhopalomyia	H_0094_Diptera_Phoridae	H_0099_Lepidoptera_Lycaena	H_0115_Orthoptera_Gryllidae	H_0118_Orthoptera_Tettigoniidae	H_0125_Hemiptera_Cicadellidae	H_0132_Hemiptera_Cicadellidae	H_0135_Coleoptera_Chrysomelidae	H_0137_Diptera_Austrosciara	H_0153_Diptera_Diptera	H_0155_Hemiptera_Hemiptera	H_0157_Hemiptera_Aphrophora	H_0167_Diptera_Diptera	H_0176_Lepidoptera_Lepidoptera	H_0180_Hemiptera_Bemisia	H_0181_Diptera_Sciaridae	H_0186_Hemiptera_Aphis.spiraecola	H_0188_Lepidoptera_Lepidoptera	H_0199_Hemiptera_Cicadellidae	H_0203_Ephemeroptera_Cloeon	H_0225_Hymenoptera_Eulophidae	H_0227_Hemiptera_Cicadellidae	H_0229_Orthoptera_Tettigoniidae	H_0237_Hymenoptera_Pheidole	H_0249_Lepidoptera_Erebidae	H_0255_Hymenoptera_Formica	H_0265_Coleoptera_Scymnus	H_0268_Hemiptera_Aphis	H_0271_Diptera_Diptera	H_0273_Hemiptera_Hemiptera	H_0285_Diptera_Cecidomyiidae	H_0294_Diptera_Cecidomyiidae	H_0307_Diptera_Cecidomyiidae	H_0309_Hemiptera_Geisha.distinctissima	H_0316_Hemiptera_Delphacidae	H_0317_Hemiptera_Cicadellidae	H_0322_Diptera_Dolichopodidae	H_0323_Diptera_Dohrniphora	H_0332_Lepidoptera_Lepidoptera	H_0352_Coleoptera_Atomaria	H_0359_Orthoptera_Gonista	H_0378_Hemiptera_Delphacidae	H_0397_Neuroptera_Neuroptera	H_0400_Hemiptera_Aphididae	H_0413_Hymenoptera_Formica	H_0418_Hymenoptera_Nylanderia	H_0426_Diptera_Cecidomyiidae	H_0427_Orthoptera_Tettigoniidae	H_0428_Diptera_Cecidomyiidae	H_0434_Lepidoptera_Geometridae	H_0443_Diptera_Pseudolycoriella	H_0457_Hemiptera_Empoascanara	H_0473_Hemiptera_Cicadellidae	H_0474_Coleoptera_Coleoptera	H_0480_Diptera_Diptera	H_0486_Hemiptera_Cicadellidae	H_0488_Odonata_Ischnura	H_0497_Lepidoptera_Ostrinia	H_0504_Hemiptera_Ossoides.lineatus	H_0505_Lepidoptera_Crambidae	H_0517_Odonata_Pantala.flavescens	H_0519_Diptera_Diptera	H_0522_Lepidoptera_Pelopidas.mathias	H_0533_Hymenoptera_Formica	H_0546_Diptera_Cecidomyiidae	H_0549_Diptera_Mycetophilidae	H_0557_Neuroptera_Neuroptera	H_0571_Lepidoptera_Noctuidae	H_0585_Lepidoptera_Lepidoptera	H_0590_Hymenoptera_Braconidae	H_0591_Diptera_Lestodiplosis	H_0608_Neuroptera_Neuroptera	H_0609_Coleoptera_Coleoptera	H_0612_Hymenoptera_Formica	H_0617_Neuroptera_Mantispidae	H_0620_Lepidoptera_Lepidoptera	H_0639_Hymenoptera_Hymenoptera	H_0651_Hymenoptera_Formica	H_0663_Lepidoptera_Pyralidae	H_0665_Diptera_Cecidomyiidae	H_0668_Diptera_Chironomidae	H_0684_Coleoptera_Coleoptera	H_0698_Diptera_Lestodiplosis	H_0707_Diptera_Diptera	H_0713_Strepsiptera_Halictophagidae	H_0725_Hymenoptera_Ceratobaeus	H_0730_Diptera_Cecidomyiidae	H_0747_Hymenoptera_Formica	H_0763_Hymenoptera_Formica.cunicularia	H_0777_Lepidoptera_Noctuidae	H_0799_Hemiptera_Aphididae	H_0808_Diptera_Cecidomyiidae	H_0819_Hymenoptera_Ceraphron	H_0820_Hemiptera_Coreidae	H_0841_Hemiptera_Bemisia	H_0844_Hymenoptera_Formica	H_0878_Hymenoptera_Formica	H_0895_Lepidoptera_Lepidoptera	H_0898_Hemiptera_Aphididae	H_0939_Hemiptera_Hemiptera	H_0941_Hymenoptera_Formica	H_0954_Hymenoptera_Ceraphron	H_0962_Diptera_Diptera	H_1018_Hymenoptera_Formica	H_1031_Lepidoptera_Lepidoptera	H_1053_Coleoptera_Coleoptera	H_1057_Lepidoptera_Lepidoptera	H_1080_Hymenoptera_Formica.cunicularia	H_1084_Hymenoptera_Formica	H_1097_Hymenoptera_Formica	H_1099_Hemiptera_Cicadellidae	H_1119_Hymenoptera_Formica	H_1142_Hymenoptera_Formica	H_1146_Hymenoptera_Formica	H_1167_Hymenoptera_Formica	H_1173_Hymenoptera_Formica	H_1204_Diptera_Megaselia	H_1214_Neuroptera_Neuroptera
S44_S_601	ササグモ	2018.08.20-001	8	-	-	3.57	37	Araneae	Oxyopidae	Oxyope	Oxyopes_sertatus	free-living	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S44_S_602	ヒメアシナガグモ	2018.08.20-002	8	-	-	2.62	2	Araneae	Tetragnathidae	Pachygnatha	Pachygnatha_tenera	free-living	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S44_S_603	ササグモ	2018.08.20-003	8	-	-	3.45	37	Araneae	Oxyopidae	Oxyope	Oxyopes_sertatus	free-living	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S44_S_604	ササグモ	2018.08.20-004	8	-	-	2.81	37	Araneae	Oxyopidae	Oxyope	Oxyopes_sertatus	free-living	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S44_S_605	ササグモ	2018.08.20-005	8	-	-	4.09	37	Araneae	Oxyopidae	Oxyope	Oxyopes_sertatus	free-living	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S44_S_606	ササグモ	2018.08.20-006	8	-	-	3.45	37	Araneae	Oxyopidae	Oxyope	Oxyopes_sertatus	free-living	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S44_S_607	ヨツデゴミグモ	2018.08.20-007	8	-	-	5.58	21	Araneae	Araneidae	Cyclosa	Cyclosa_sedeculata	web-weabing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S44_S_610	ハナグモ	2018.08.20-010	8	-	-	3.17	13	Araneae	Thomisidae	Ebrechtella	Ebrechtella_tricuspidata	free-living	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S44_S_611	ササグモ	2018.08.20-011	8	-	-	3.12	37	Araneae	Oxyopidae	Oxyope	Oxyopes_sertatus	free-living	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S44_S_612	フクログモ属	2018.08.20-012	8	-	-	2.77	63	Araneae	Clubionidae	Clubiona	Clubiona_sp.	free-living	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
