species	Seq.No.	date	month	male	age	bodysize	No.	order	Family	genus	species.y	ecology
アシナガグモ	S44_S_285	2018.07.17-061	7	-	-	2.77	4	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha_praedonia	web-weaving
アシナガグモ	S44_S_229	2018.07.17-005	7	-	-	9.72	4	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha_praedonia	web-weaving
アシナガグモ	S44_S_259	2018.07.17-035	7	-	-	4.49	4	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha_praedonia	web-weaving
アシナガグモ	S44_S_281	2018.07.17-057	7	-	-	2.53	4	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha_praedonia	web-weaving
アシナガグモ	S43_S_330	2018.10.17-034	10	2	2	2.97	4	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha_praedonia	web-weaving
アシナガグモ	S43_S_695	2018.11.13-031	11	2	2	3.31	4	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha_praedonia	web-weaving
アシナガグモ	S43_S_254	2018.10.16-030	10	2	2	3.76	4	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha_praedonia	web-weaving
アシナガグモ	S45_S_013	2018.04.17-014	4	2	2	-	4	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha_praedonia	web-weaving
アシナガグモ	S43_S_696	2018.11.13-032	11	2	2	4.3	4	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha_praedonia	web-weaving
アシナガグモ	S43_S_342	2018.10.17-046	10	2	2	5.59	4	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha_praedonia	web-weaving
アシナガグモ	S45_S_046	2018.04.17-046	4	2	2	-	4	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha_praedonia	web-weaving
アシナガグモ	S43_S_302	2018.10.17-006	10	2	2	3.53	4	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha_praedonia	web-weaving
アシナガグモ	S43_S_279	2018.10.16-055	10	2	2	2.62	4	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha_praedonia	web-weaving
アシナガグモ	S44_S_380	2018.07.19-004	7	-	-	3.42	4	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha_praedonia	web-weaving
アシナガグモ	S43_S_639	2018.11.12-055	11	2	2	3.12	4	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha_praedonia	web-weaving
アシナガグモ	S45_S_006	2018.04.17-006	4	2	2	-	4	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha_praedonia	web-weaving
アシナガグモ	S45_S_694	2018.05.17-110	5	-	-	-	4	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha_praedonia	web-weaving
アシナガグモ	S44_S_059	2018.06.12-059	6	-	-	2.32	4	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha_praedonia	web-weaving
アシナガグモ	S43_S_236	2018.10.16-012	10	2	2	4.66	4	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha_praedonia	web-weaving
アシナガグモ	S43_S_297	2018.10.17-001	10	2	2	3.44	4	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha_praedonia	web-weaving
アシナガグモ	S45_S_274	2018.04.27-098	4	-	-	-	4	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha_praedonia	web-weaving
アシナガグモ	S45_S_337	2018.05.11-033	5	-	-	-	4	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha_praedonia	web-weaving
アシナガグモ	S44_S_062	2018.06.12-062	6	-	-	6.43	4	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha_praedonia	web-weaving
アシナガグモ	S43_S_629	2018.11.12-045	11	2	2	4.24	4	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha_praedonia	web-weaving
アシナガグモ	S43_S_132	2018.09.25-012	9	2	2	3.01	4	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha_praedonia	web-weaving
アシナガグモ	S43_S_226	2018.10.16-002	10	2	2	4.63	4	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha_praedonia	web-weaving
アシナガグモ	S44_S_618	2018.08.20-018	8	-	-	2.58	4	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha_praedonia	web-weaving
アシナガグモ	S43_S_174	2018.09.25-054	9	2	2	2.91	4	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha_praedonia	web-weaving
アシナガグモ	S45_S_338	2018.05.11-034	5	-	-	-	4	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha_praedonia	web-weaving
アシナガグモ	S45_S_041	2018.04.17-041	4	2	2	-	4	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha_praedonia	web-weaving
アシナガグモ	S43_S_227	2018.10.16-003	10	2	2	2.79	4	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha_praedonia	web-weaving
アシナガグモ	S43_S_288	2018.10.16-064	10	2	2	3.59	4	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha_praedonia	web-weaving
アシナガグモ	S45_S_241	2018.04.27-065	4	-	-	-	4	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha_praedonia	web-weaving
アシナガグモ	S43_S_181	2018.09.25-061	9	2	2	3.08	4	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha_praedonia	web-weaving
アシナガグモ	S43_S_167	2018.09.25-047	9	2	2	2.56	4	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha_praedonia	web-weaving
アシナガグモ	S43_S_760	2018.11.15-032	11	2	2	3.59	4	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha_praedonia	web-weaving
アシナガグモ	S44_S_527	2018.07.20-079	7	-	-	4.35	4	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha_praedonia	web-weaving
アシナガグモ	S45_S_527	2018.05.15-063	5	-	-	-	4	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha_praedonia	web-weaving
アシナガグモ	S44_S_532	2018.07.20-084	7	-	-	3.81	4	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha_praedonia	web-weaving
アシナガグモ	S43_S_173	2018.09.25-053	9	2	2	2.96	4	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha_praedonia	web-weaving
アシナガグモ	S45_S_557	2018.05.16-029	5	-	-	-	4	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha_praedonia	web-weaving
アシナガグモ	S44_S_391	2018.07.19-015	7	-	-	3.01	4	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha_praedonia	web-weaving
アズチグモ	S44_S_453	2018.07.20-005	7	-	-	3.12	10	Araneae	Thomisidae	Thomisus	Thomisus_labefactus	free-living
アズチグモ	S44_S_377	2018.07.19-001	7	-	-	3.3	10	Araneae	Thomisidae	Thomisus	Thomisus_labefactus	free-living
アズチグモ	S44_S_674	2018.08.20-074	8	-	-	2.7	10	Araneae	Thomisidae	Thomisus	Thomisus_labefactus	free-living
アズチグモ	S44_S_749	2018.08.22-021	8	-	-	2.88	10	Araneae	Thomisidae	Thomisus	Thomisus_labefactus	free-living
アズチグモ	S45_S_247	2018.04.27-071	4	-	-	-	10	Araneae	Thomisidae	Thomisus	Thomisus_labefactus	free-living
アズチグモ	S45_S_452	2018.05.14-092	5	-	-	-	10	Araneae	Thomisidae	Thomisus	Thomisus_labefactus	free-living
アズチグモ	S45_S_471	2018.05.15-007	5	-	-	-	10	Araneae	Thomisidae	Thomisus	Thomisus_labefactus	free-living
アズチグモ	S45_S_508	2018.05.15-044	5	-	-	-	10	Araneae	Thomisidae	Thomisus	Thomisus_labefactus	free-living
アズチグモ	S44_S_673	2018.08.20-073	8	-	-	6.83	10	Araneae	Thomisidae	Thomisus	Thomisus_labefactus	free-living
アズチグモ	S44_S_179	2018.06.22-003	6	-	-	2.91	10	Araneae	Thomisidae	Thomisus	Thomisus_labefactus	free-living
アズチグモ	S45_S_523	2018.05.15-059	5	-	-	-	10	Araneae	Thomisidae	Thomisus	Thomisus_labefactus	free-living
アズチグモ	S45_S_616	2018.05.17-032	5	-	-	-	10	Araneae	Thomisidae	Thomisus	Thomisus_labefactus	free-living
アズチグモ	S45_S_375	2018.05.14-015	5	-	-	-	10	Araneae	Thomisidae	Thomisus	Thomisus_labefactus	free-living
アズチグモ	S45_S_248	2018.04.27-072	4	-	-	-	10	Araneae	Thomisidae	Thomisus	Thomisus_labefactus	free-living
アズチグモ	S45_S_447	2018.05.14-087	5	-	-	-	10	Araneae	Thomisidae	Thomisus	Thomisus_labefactus	free-living
アズチグモ	S44_S_190	2018.06.22-014	6	-	-	2.98	10	Araneae	Thomisidae	Thomisus	Thomisus_labefactus	free-living
アズチグモ	S45_S_512	2018.05.15-048	5	-	-	-	10	Araneae	Thomisidae	Thomisus	Thomisus_labefactus	free-living
アズチグモ	S45_S_642	2018.05.17-058	5	-	-	-	10	Araneae	Thomisidae	Thomisus	Thomisus_labefactus	free-living
アズチグモ	S45_S_227	2018.04.27-051	4	-	-	-	10	Araneae	Thomisidae	Thomisus	Thomisus_labefactus	free-living
アズチグモ	S44_S_668	2018.08.20-068	8	-	-	7.59	10	Araneae	Thomisidae	Thomisus	Thomisus_labefactus	free-living
アズチグモ	S44_S_192	2018.06.22-016	6	-	-	3.62	10	Araneae	Thomisidae	Thomisus	Thomisus_labefactus	free-living
アズチグモ	S45_S_206	2018.04.27-030	4	-	-	-	10	Araneae	Thomisidae	Thomisus	Thomisus_labefactus	free-living
アズチグモ	S45_S_302	2018.04.27-126	4	-	-	-	10	Araneae	Thomisidae	Thomisus	Thomisus_labefactus	free-living
